number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc
78,0.11948127496400941,2026-03-13 07:32:39.751809,2026-03-13 08:27:58.144994,0 days 00:55:18.393185,128,4,0.0,0.009365009148495715,20,meta,64,128,5,0.293847227734075,0.30000000000000004,0.07848642254675044,0.0034927059716464673,0.4,10,20,BiGRU,6,1,corn,5,2.7915659524527463,0.6344257833909765,21,0.8813688452031948,0.11335585836296505,41,7.389666258339071e-06,0.5211397058823529,0.11865956278265392,0.11948127496400941,0.19522058823529412,COMPLETE,0.11865956278265392,0.19522058823529412,0.5211397058823529,0.11948127496400941
19,0.11947002446465801,2026-03-12 01:28:44.592062,2026-03-12 01:51:27.149438,0 days 00:22:42.557376,32,2,0.0,0.009718986640562997,15,meta,128,64,5,0.5821695193045028,0.2,0.005477294908384063,0.003745850366707191,0.4,7,50,BiLSTM,6,1,coral,10,3.1977928331760066,0.9094519138727561,21,0.8620872933358135,0.19738846624120687,21,1.0492521725565437e-07,0.5264705882352941,0.12217463469593273,0.11947002446465801,0.2229779411764706,COMPLETE,0.12217463469593273,0.2229779411764706,0.5264705882352941,0.11947002446465801
45,0.11930789008765025,2026-03-12 11:19:21.418899,2026-03-12 11:34:32.395790,0 days 00:15:10.976891,32,2,0.0,0.005410764940381382,20,meta,128,64,5,0.2918790969896584,0.2,0.02415765123642328,0.00172780565841155,0.4,5,30,BiLSTM,6,2,corn,15,2.8895672634787823,1.0567161511019432,9,0.8413165565614279,0.21759241016767134,31,2.732246517502647e-05,0.5204044117647059,0.11645544799205282,0.11930789008765025,0.20863970588235295,COMPLETE,0.11645544799205282,0.20863970588235295,0.5204044117647059,0.11930789008765025
33,0.11896555962307348,2026-03-12 07:27:10.679311,2026-03-12 07:51:54.598814,0 days 00:24:43.919503,32,2,0.0,0.008281315448605945,20,meta_err,256,64,5,1.0320506431286893,0.2,0.04166223532027911,0.002771912565915638,0.8,5,30,GRU,6,1,corn,20,2.917075249721898,1.1715832099627563,21,0.8996209106370567,0.24692752278925753,31,8.382151733617397e-06,0.5147058823529411,0.1257472435508293,0.11896555962307348,0.21378676470588234,COMPLETE,0.1257472435508293,0.21378676470588234,0.5147058823529411,0.11896555962307348
32,0.11866660062265645,2026-03-12 07:08:30.417493,2026-03-12 07:27:10.678588,0 days 00:18:40.261095,32,2,0.1,0.005404901131955335,20,meta,128,64,5,0.8202677425989048,0.30000000000000004,0.015232614591620501,0.0030414987260387943,0.4,5,30,BiLSTM,6,1,corn,20,3.1939218973253047,0.7169403340145601,21,0.8900050694877482,0.16859531076055068,21,1.5971049079593213e-05,0.5215073529411764,0.1122528917544739,0.11866660062265645,0.20036764705882354,COMPLETE,0.1122528917544739,0.20036764705882354,0.5215073529411764,0.11866660062265645
65,0.11838508471137585,2026-03-12 22:39:32.340991,2026-03-12 23:42:46.189674,0 days 01:03:13.848683,32,6,0.1,0.007611809240652518,10,meta,256,32,5,0.31673884382677375,0.30000000000000004,0.02610138822670654,0.009143122380882284,0.4,7,20,BiLSTM,6,1,corn,10,1.9861019542948937,0.9551250061808343,21,0.8965407713625774,0.3074233082793634,31,7.27829493284268e-05,0.5215073529411764,0.1205355211650748,0.11838508471137585,0.2073529411764706,COMPLETE,0.1205355211650748,0.2073529411764706,0.5215073529411764,0.11838508471137585
96,0.11748785538400996,2026-03-13 19:42:41.427752,2026-03-13 20:38:02.985997,0 days 00:55:21.558245,32,4,0.1,0.005955495908014281,20,meta,64,128,5,0.7591411801717668,0.30000000000000004,0.054631743439987064,0.0006007532371558685,0.4,10,20,BiLSTM,6,1,coral,5,2.462651323823241,0.8311358189036444,21,0.822454979467252,0.11292141981144516,41,4.687629344897947e-06,0.5159926470588235,0.12338869575576983,0.11748785538400996,0.22242647058823528,COMPLETE,0.12338869575576983,0.22242647058823528,0.5159926470588235,0.11748785538400996
9,0.116879660015216,2026-03-11 21:14:53.919395,2026-03-11 21:41:19.009147,0 days 00:26:25.089752,32,2,0.5,0.008377815790971242,15,meta,128,128,5,0.37053668905684684,0.2,0.03482253911484029,0.002745400247892087,0.8,5,50,BiLSTM,6,2,corn,10,3.409669147394891,1.1654330556917234,21,0.6713158858233563,0.212061918431982,21,3.2845546285090094e-07,0.5213235294117647,0.10380274951545539,0.116879660015216,0.19724264705882352,COMPLETE,0.10380274951545539,0.19724264705882352,0.5213235294117647,0.116879660015216
85,0.11621504044006091,2026-03-13 13:05:10.992391,2026-03-13 13:37:23.359185,0 days 00:32:12.366794,32,4,0.2,0.005011440528670473,20,meta,128,64,5,0.8701197939806669,0.1,0.04094505328762256,0.006670487966068999,0.8,5,50,GRU,6,2,corn,20,3.426141890492181,1.0400912570848801,21,0.7987238844494227,0.1706902711027805,21,1.5225566620120708e-07,0.5091911764705882,0.11488916174343304,0.11621504044006091,0.20238970588235294,COMPLETE,0.11488916174343304,0.20238970588235294,0.5091911764705882,0.11621504044006091
58,0.11619791344847291,2026-03-12 17:32:50.173056,2026-03-12 18:36:30.348811,0 days 01:03:40.175755,32,6,0.1,0.007900281613113194,10,meta,64,128,5,0.1507849717774271,0.4,0.02275884503132932,0.0017178281947079646,0.4,5,20,GRU,6,1,corn,20,3.041001566153355,1.0311800424918864,21,0.8512139002037458,0.23081465081516264,31,1.702717982793226e-05,0.5207720588235294,0.1209625849538685,0.11619791344847291,0.20330882352941176,COMPLETE,0.1209625849538685,0.20330882352941176,0.5207720588235294,0.11619791344847291
77,0.11583161154036746,2026-03-13 07:01:23.658444,2026-03-13 07:32:39.751137,0 days 00:31:16.092693,32,2,0.4,0.007081374228947606,20,meta,64,32,5,0.4989503489757824,0.30000000000000004,0.06755562697843456,0.002265363532890246,0.4,10,20,BiLSTM,6,1,corn,10,3.485569629622035,0.7724735148305404,21,0.8187290165908254,0.13726593598970413,41,2.307918457649796e-06,0.5224264705882353,0.11208281853221663,0.11583161154036746,0.19080882352941175,COMPLETE,0.11208281853221663,0.19080882352941175,0.5224264705882353,0.11583161154036746
46,0.11505121334380804,2026-03-12 11:34:32.396790,2026-03-12 11:45:25.002616,0 days 00:10:52.605826,32,2,0.30000000000000004,0.009450266452431109,15,meta,128,64,5,0.11659958986235407,0.30000000000000004,0.08392523631123688,0.0029447871501358863,0.8,5,30,LSTM,6,2,coral,5,3.477439962702768,1.1714817187177413,9,0.7268594202304817,0.18623071038434208,21,5.91820693466992e-07,0.5238970588235294,0.1266826773852662,0.11505121334380804,0.2202205882352941,COMPLETE,0.1266826773852662,0.2202205882352941,0.5238970588235294,0.11505121334380804
37,0.114826482205053,2026-03-12 08:39:07.538450,2026-03-12 08:47:21.645142,0 days 00:08:14.106692,128,2,0.1,0.005765622447214943,15,meta,128,128,5,0.5799254875817799,0.4,0.04951995883024979,0.005244281506556617,0.4,5,30,BiLSTM,6,2,corn,20,2.184395389600399,1.1174314029284342,9,0.8776875541011449,0.29005658354742186,21,6.417662068126654e-06,0.5238970588235294,0.10573004750553534,0.114826482205053,0.20202205882352942,COMPLETE,0.10573004750553534,0.20202205882352942,0.5238970588235294,0.114826482205053
