number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc
72,0.05511257172665903,2026-03-13 23:18:00.484635,2026-03-13 23:52:55.260677,0 days 00:34:54.776042,64,6,0.4,0.003564659775490225,15,meta_unified_emotion,256,128,1,0.8893805809494927,0.2,0.06452605189642892,0.000547452446127042,0.8,7,50,LSTM,6,1,corn,15,3.318816881686324,0.5642929674864302,9,0.7306437986333452,0.28650014814516295,41,4.89013824921673e-07,0.5082720588235294,0.11318799287779013,0.05511257172665903,0.17481617647058822,COMPLETE,0.11318799287779013,0.17481617647058822,0.5082720588235294,0.05511257172665903
57,0.054272463863092785,2026-03-13 15:01:43.464739,2026-03-13 15:27:17.891228,0 days 00:25:34.426489,128,4,0.5,0.006919470582178873,10,meta_unified_emotion,128,64,1,1.1602111877949497,0.2,0.07993501034068022,0.0001725652490411364,0.8,5,30,LSTM,6,1,corn,5,2.5703430400403153,0.8099401692579453,9,0.7373706657243807,0.35523474222952306,41,4.254532222467633e-06,0.5137867647058824,0.1242459723522739,0.054272463863092785,0.19191176470588237,COMPLETE,0.1242459723522739,0.19191176470588237,0.5137867647058824,0.054272463863092785
15,0.05417524102364543,2026-03-12 20:33:37.526886,2026-03-12 21:00:35.819421,0 days 00:26:58.292535,64,2,0.5,0.007314059205270015,15,meta_all_nlp,128,64,1,0.3345724208801667,0.4,0.07127550788654421,0.0033814107397439905,0.8,10,50,BiGRU,6,2,coral,5,3.0444647935566223,0.5156993000024617,21,0.7180551845136603,0.2828844567761678,31,0.00015559654075338495,0.5172794117647059,0.13124579878966788,0.05417524102364543,0.1786764705882353,COMPLETE,0.13124579878966788,0.1786764705882353,0.5172794117647059,0.05417524102364543
93,0.05344679356008902,2026-03-14 08:58:42.454752,2026-03-14 09:23:02.350172,0 days 00:24:19.895420,128,4,0.30000000000000004,0.006284177963715281,15,meta_err_sentiment,128,64,1,1.8800420249006704,0.4,0.08079015370438661,0.008916142210220118,0.8,10,50,GRU,6,1,corn,15,3.1222098552936637,0.5410413134355982,9,0.6796535239980469,0.29664009543271863,41,5.676209205776525e-07,0.5051470588235294,0.10478247848006597,0.05344679356008902,0.16819852941176472,COMPLETE,0.10478247848006597,0.16819852941176472,0.5051470588235294,0.05344679356008902
22,0.05286077406363374,2026-03-12 23:57:26.432678,2026-03-13 00:42:53.680433,0 days 00:45:27.247755,64,4,0.30000000000000004,0.004153684512167534,10,meta_err_stance,64,64,1,1.9301833484623074,0.30000000000000004,0.07565968501861249,0.0004067537454210538,0.8,7,30,BiLSTM,6,2,coral,5,3.340350116028138,0.7485664094145068,21,0.7155706905763153,0.2735517492938957,31,1.6460427026202798e-07,0.5185661764705882,0.10333076477311189,0.05286077406363374,0.15459558823529412,COMPLETE,0.10333076477311189,0.15459558823529412,0.5185661764705882,0.05286077406363374
27,0.052649652078838934,2026-03-13 02:37:09.394728,2026-03-13 02:49:03.440408,0 days 00:11:54.045680,64,2,0.5,0.008291947575977553,15,meta_all_nlp,128,64,1,1.3673293605610128,0.2,0.09288644030555793,0.0086333724783304,0.4,10,50,BiGRU,6,1,coral,5,1.8902764220885993,0.20093372453793248,9,0.7941845325491692,0.3173342852009663,31,0.0005307500790258432,0.5121323529411764,0.11939782764157188,0.052649652078838934,0.16525735294117647,COMPLETE,0.11939782764157188,0.16525735294117647,0.5121323529411764,0.052649652078838934
52,0.052486044758281086,2026-03-13 12:52:12.208674,2026-03-13 13:14:41.242969,0 days 00:22:29.034295,64,4,0.2,0.0021369480511327843,10,meta_unified_emotion,256,64,1,1.3415870857135686,0.4,0.07375751746355234,0.0005763782996829011,0.8,7,30,BiGRU,6,1,coral,5,3.380477613392416,0.3500906355072688,15,0.7813850820867517,0.3929907888375175,21,9.197960102124841e-06,0.5169117647058824,0.11399350933312817,0.052486044758281086,0.159375,COMPLETE,0.11399350933312817,0.159375,0.5169117647058824,0.052486044758281086
69,0.05194758708008722,2026-03-13 20:53:05.784743,2026-03-13 21:38:27.155168,0 days 00:45:21.370425,64,6,0.30000000000000004,0.004608943827352465,15,meta_emotion,128,128,1,1.5548569554582903,0.4,0.019120796889048844,0.0011180774111720243,0.8,7,50,GRU,6,2,coral,5,2.980009204592431,0.8156535050662153,21,0.6175183285156024,0.28939599012962025,21,5.049250810665569e-07,0.5121323529411764,0.1199500698308277,0.05194758708008722,0.1766544117647059,COMPLETE,0.1199500698308277,0.1766544117647059,0.5121323529411764,0.05194758708008722
78,0.05184727578736918,2026-03-14 02:32:23.918342,2026-03-14 03:06:17.178417,0 days 00:33:53.260075,64,6,0.5,0.0040700915166452245,15,meta_unified_emotion,256,128,1,1.1864134460798834,0.4,0.06592837473706675,0.00015288866034916042,0.4,7,50,LSTM,6,2,coral,15,3.4396902194763976,0.5015838882380023,15,0.6442677775270852,0.28866864347343857,21,9.077525506560606e-07,0.5126838235294118,0.11338536393479283,0.05184727578736918,0.17095588235294118,COMPLETE,0.11338536393479283,0.17095588235294118,0.5126838235294118,0.05184727578736918
19,0.05159195377300156,2026-03-12 22:40:38.669798,2026-03-12 23:04:02.359656,0 days 00:23:23.689858,128,2,0.1,0.006076871204453551,15,meta_all_nlp,64,64,1,0.2558409398743534,0.4,0.05845463185064182,0.0006259504425533493,0.8,10,50,BiGRU,6,2,corn,10,2.1685088911454704,0.22180765163332422,21,0.677874812206994,0.26926684312949184,31,0.00010923372454972713,0.5112132352941177,0.11319528684982304,0.05159195377300156,0.17536764705882352,COMPLETE,0.11319528684982304,0.17536764705882352,0.5112132352941177,0.05159195377300156
95,0.051434243891700315,2026-03-14 09:54:47.344719,2026-03-14 10:13:53.858674,0 days 00:19:06.513955,128,4,0.30000000000000004,0.0044131175328343914,10,meta_stance,64,64,1,1.5846879142618013,0.1,0.09812349293368296,0.0037032820376248815,0.8,5,30,LSTM,6,1,coral,10,2.764427360725697,0.6580756303417084,9,0.6848200838817037,0.37060461837684117,31,1.4549779265541393e-06,0.5106617647058823,0.11122583805931045,0.051434243891700315,0.159375,COMPLETE,0.11122583805931045,0.159375,0.5106617647058823,0.051434243891700315
5,0.05125527888531098,2026-03-12 13:35:34.040768,2026-03-12 14:38:28.305755,0 days 01:02:54.264987,64,4,0.5,0.00401202304141268,15,meta_emotion,128,64,1,1.158042016545076,0.4,0.0947535238263844,0.00022146997116366532,0.8,10,30,BiLSTM,6,2,coral,10,3.002653800531598,0.4052798961596751,21,0.7253616216568607,0.38229148115988754,41,1.1014811505358537e-05,0.5095588235294117,0.11721983583025995,0.05125527888531098,0.1610294117647059,COMPLETE,0.11721983583025995,0.1610294117647059,0.5095588235294117,0.05125527888531098
66,0.050804057781035625,2026-03-13 19:00:09.195026,2026-03-13 19:33:13.785906,0 days 00:33:04.590880,64,4,0.2,0.0037570138015024404,10,meta_unified_emotion,128,32,1,1.0245835295332162,0.4,0.06766374914502175,7.553998175674976e-05,0.8,7,30,BiLSTM,6,2,corn,10,3.438388298238949,0.6509738876715505,15,0.7782859173209262,0.3721052301285399,31,0.00012300186782085288,0.5185661764705882,0.1118179197281749,0.050804057781035625,0.18419117647058825,COMPLETE,0.1118179197281749,0.18419117647058825,0.5185661764705882,0.050804057781035625
89,0.050045785799414315,2026-03-14 07:39:25.271733,2026-03-14 07:49:54.261775,0 days 00:10:28.990042,128,2,0.4,0.002641674801424765,10,meta_unified_emotion,256,64,1,1.898916335459868,0.4,0.07081798917768009,0.006544492240249015,0.8,10,50,LSTM,6,2,corn,10,2.3891811216750725,0.7616540667250115,9,0.6915291710097784,0.3313448907402853,31,7.76319888170601e-06,0.5170955882352941,0.11449335862199703,0.050045785799414315,0.1801470588235294,COMPLETE,0.11449335862199703,0.1801470588235294,0.5170955882352941,0.050045785799414315
86,0.049817938596351065,2026-03-14 06:45:35.787549,2026-03-14 07:01:41.295064,0 days 00:16:05.507515,64,2,0.30000000000000004,0.009243415684567144,10,meta_stance,128,32,1,0.820445956611527,0.30000000000000004,0.07997323536695426,0.0035426188757463257,0.4,7,50,GRU,6,1,corn,10,2.652942800686396,0.20726255976585542,15,0.7159140698705871,0.3184830519968999,31,1.614728690727434e-05,0.5068014705882353,0.12027035903661475,0.049817938596351065,0.1806985294117647,COMPLETE,0.12027035903661475,0.1806985294117647,0.5068014705882353,0.049817938596351065
51,0.04922661773140764,2026-03-13 12:32:19.711778,2026-03-13 12:52:12.207914,0 days 00:19:52.496136,64,4,0.4,0.0040806544180571145,10,meta_stance,128,32,1,0.5131794957845903,0.30000000000000004,0.09336780229532211,0.00027350695061117893,0.4,7,30,LSTM,6,1,corn,15,3.0622372190763363,0.47217563043658684,9,0.6676118470289754,0.30837320795174844,31,0.000649940289909855,0.5161764705882353,0.11083668779677631,0.04922661773140764,0.17408088235294117,COMPLETE,0.11083668779677631,0.17408088235294117,0.5161764705882353,0.04922661773140764
74,0.04848043924314351,2026-03-14 00:23:47.150234,2026-03-14 01:02:28.403847,0 days 00:38:41.253613,64,4,0.30000000000000004,0.0012499973677094363,15,meta_unified_emotion,256,128,1,0.29596978435669274,0.30000000000000004,0.05951756790380998,0.0018209924178175995,0.8,7,30,BiLSTM,6,1,corn,15,2.594745885468683,0.8523887732546661,15,0.7426253810003851,0.3737479828574759,41,1.6354003231060986e-06,0.5115808823529412,0.11234073596146593,0.04848043924314351,0.1704044117647059,COMPLETE,0.11234073596146593,0.1704044117647059,0.5115808823529412,0.04848043924314351
82,0.0482185532014162,2026-03-14 04:22:35.187017,2026-03-14 05:21:49.831565,0 days 00:59:14.644548,64,6,0.30000000000000004,0.0037579661461186404,15,meta_unified_emotion,256,128,1,0.7477158331226065,0.30000000000000004,0.049501641692172346,0.0009614033166629359,0.8,7,50,BiLSTM,6,2,corn,10,2.6789656314816606,0.45819880694439546,15,0.6664193912217996,0.3790532255212143,41,3.016813946676918e-06,0.5090073529411765,0.11259981832079663,0.0482185532014162,0.1761029411764706,COMPLETE,0.11259981832079663,0.1761029411764706,0.5090073529411765,0.0482185532014162
96,0.04797633748192948,2026-03-14 10:13:53.859621,2026-03-14 10:26:08.323590,0 days 00:12:14.463969,64,2,0.7000000000000001,0.005456820143934636,20,meta_err_finbert,64,64,1,1.0528273803385613,0.4,0.08932769231237064,0.00224742185838489,0.4,10,50,GRU,6,1,coral,5,2.327841551414041,0.5156504966486608,9,0.6828630924024691,0.35470100445246505,31,9.356739187905233e-05,0.5113970588235294,0.11190955851250885,0.04797633748192948,0.16176470588235295,COMPLETE,0.11190955851250885,0.16176470588235295,0.5113970588235294,0.04797633748192948
8,0.04793086816209831,2026-03-12 16:32:50.505321,2026-03-12 16:57:25.417911,0 days 00:24:34.912590,64,2,0.4,0.005736764208017161,15,meta_err_emotion,128,64,1,0.3626945099043254,0.4,0.08115497157172287,0.002853883423233452,0.8,10,50,BiLSTM,6,2,coral,10,3.1593440575068725,0.7120902244895613,21,0.6849950544876012,0.20706767196556095,31,9.12180373500996e-06,0.5145220588235294,0.12358412653871513,0.04793086816209831,0.17224264705882353,COMPLETE,0.12358412653871513,0.17224264705882353,0.5145220588235294,0.04793086816209831
