number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
53,0.3038998811620613,2026-03-01 04:54:15.100809,2026-03-01 05:03:06.317098,0 days 00:08:51.216289,16,0.6000000000000001,0.0015995918713670888,20,sentiment,128,128,1,0.5032250125682219,0.4,0.006848223800265516,0.4,10,20,BiGRU,2,5,4.614028126024478e-06,0.6250684181718663,0.5290485170314907,0.3038998811620613,0.7120836815729666,0.575754068046753,COMPLETE,0.5290485170314907,0.3038998811620613,0.7120836815729666,0.575754068046753,0.6250684181718663
18,0.30365650909689923,2026-03-01 00:30:33.823305,2026-03-01 00:35:35.367465,0 days 00:05:01.544160,16,0.2,0.002353653254096948,10,emotion,256,128,1,0.607462119283388,0.0,0.00034586475204722867,0.8,5,20,BiGRU,1,10,7.249016332143038e-06,0.6245210727969348,0.5330684409946359,0.30365650909689923,0.7026568447940477,0.5707265219673644,COMPLETE,0.5330684409946359,0.30365650909689923,0.7026568447940477,0.5707265219673644,0.6245210727969348
96,0.3030432908021251,2026-03-01 10:13:15.653815,2026-03-01 10:19:25.521014,0 days 00:06:09.867199,32,0.5,0.0007485004739976073,20,sentiment,128,128,1,0.124765172089435,0.30000000000000004,0.000829582646907808,0.8,10,20,BiGRU,2,5,0.0002332893116686262,0.6226053639846744,0.5508475449286869,0.3030432908021251,0.6759338153320098,0.6065653517318087,COMPLETE,0.5508475449286869,0.3030432908021251,0.6759338153320098,0.6065653517318087,0.6226053639846744
22,0.30301217834940175,2026-03-01 00:50:13.416250,2026-03-01 00:57:53.122307,0 days 00:07:39.706057,16,0.0,0.0023986479335320575,20,finbert,256,64,1,1.7353970162612127,0.1,0.001608582756373541,0.8,7,50,BiGRU,1,10,4.076255231580902e-05,0.6195949644225507,0.5754466302010522,0.30301217834940175,0.6560815882321088,0.6737042378282903,COMPLETE,0.5754466302010522,0.30301217834940175,0.6560815882321088,0.6737042378282903,0.6195949644225507
43,0.30220503117283987,2026-03-01 03:20:10.607628,2026-03-01 03:28:09.126650,0 days 00:07:58.519022,16,0.1,0.0037199660770386666,15,all_nlp,256,64,1,1.6580649786916042,0.1,0.0009638315822499112,0.8,7,30,BiGRU,2,10,0.0002593523264315881,0.6187739463601534,0.5444267223386714,0.30220503117283987,0.680564530481837,0.6186179235710467,COMPLETE,0.5444267223386714,0.30220503117283987,0.680564530481837,0.6186179235710467,0.6187739463601534
52,0.30179392598827304,2026-03-01 04:44:36.379446,2026-03-01 04:54:15.099843,0 days 00:09:38.720397,16,0.5,0.001999060052100201,20,sentiment,128,128,1,0.3479238520754349,0.1,0.0005444287197115166,0.8,10,50,BiGRU,2,10,0.0001446626560856951,0.6198686371100164,0.5308738514014882,0.30179392598827304,0.6993689271386258,0.5924030333321625,COMPLETE,0.5308738514014882,0.30179392598827304,0.6993689271386258,0.5924030333321625,0.6198686371100164
99,0.30179207519626683,2026-03-01 10:32:05.783915,2026-03-01 10:40:32.251463,0 days 00:08:26.467548,16,0.6000000000000001,0.0013054438169729518,20,unified_emotion,128,128,1,0.4709685620445522,0.2,0.0008415377215583973,0.8,5,30,BiLSTM,1,5,2.4694004021540463e-05,0.6217843459222769,0.5381668535087581,0.30179207519626683,0.692995843012662,0.6021661570811105,COMPLETE,0.5381668535087581,0.30179207519626683,0.692995843012662,0.6021661570811105,0.6217843459222769
80,0.3017547678536796,2026-03-01 08:10:45.708253,2026-03-01 08:17:34.849201,0 days 00:06:49.140948,16,0.7000000000000001,0.0034063875026972613,20,sentiment,256,64,1,0.7641553290875727,0.4,0.0038471977683058015,0.8,10,20,GRU,1,5,0.0001394159708895596,0.624521072796935,0.5215835205169321,0.3017547678536796,0.7132189862645126,0.5606047997159485,COMPLETE,0.5215835205169321,0.3017547678536796,0.7132189862645126,0.5606047997159485,0.624521072796935
72,0.3009597934078484,2026-03-01 07:13:56.758576,2026-03-01 07:17:49.238668,0 days 00:03:52.480092,64,0.7000000000000001,0.005357705836931319,20,sentiment,256,64,1,0.8605661379113212,0.4,0.0061186458815428784,0.4,10,20,BiGRU,1,5,0.00024683077115086324,0.6201423097974823,0.5393655631701091,0.3009597934078484,0.6929169189239479,0.6016113312639161,COMPLETE,0.5393655631701091,0.3009597934078484,0.6929169189239479,0.6016113312639161,0.6201423097974823
42,0.3009121864052332,2026-03-01 03:10:40.028532,2026-03-01 03:20:10.606880,0 days 00:09:30.578348,16,0.5,0.004987956443245579,20,emotion,256,128,1,0.38713432881034704,0.1,0.002739150501107188,0.8,10,20,BiGRU,1,20,4.188284269025664e-07,0.6261631089217297,0.5518041484487021,0.3009121864052332,0.6792352882240067,0.6082499578067894,COMPLETE,0.5518041484487021,0.3009121864052332,0.6792352882240067,0.6082499578067894,0.6261631089217297
