company,sector,model_type,problem_type,sequence_length,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
BA,Industrial Goods,BiLSTM,classification,12,9,0.582580245360379,0.8152567148208618,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,10,0.5567552508053621,0.9799084113194392,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,11,0.5469059773248519,1.0954747383411114,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,12,0.541258788080577,1.2156852942246656,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,13,0.5399371468907849,1.3206653044773982,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,14,0.4942197360416159,1.404843412912809,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,15,0.5252324420411439,1.4953885353528535,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,16,0.4931167731352892,1.5909084906944861,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,17,0.4847110317781638,1.6007743982168345,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,18,0.49193559523442343,1.645898094544044,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,19,0.495320056710763,1.7458697649148793,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,20,0.49163748768833576,1.8183821164644682,211,52,52
BA,Industrial Goods,BiLSTM,classification,12,21,0.4724275630797255,1.8599242797264686,211,52,52
BABA,Services,BiLSTM,classification,12,1,0.7036886234192332,0.699085717017834,157,39,49
BABA,Services,BiLSTM,classification,12,2,0.6488363868112017,0.6994986671667832,157,39,49
BABA,Services,BiLSTM,classification,12,3,0.6160025623193972,0.701359496666835,157,39,49
BABA,Services,BiLSTM,classification,12,4,0.6054152474281894,0.7059603593288324,157,39,49
BABA,Services,BiLSTM,classification,12,5,0.5839830090285866,0.7128365910970248,157,39,49
BABA,Services,BiLSTM,classification,12,6,0.5621388725414398,0.720990702127799,157,39,49
BABA,Services,BiLSTM,classification,12,7,0.5503726863557366,0.7348551230552869,157,39,49
BABA,Services,BiLSTM,classification,12,8,0.56146711585628,0.7658705818347442,157,39,49
BABA,Services,BiLSTM,classification,12,9,0.5296249154267038,0.8125567818299319,157,39,49
BABA,Services,BiLSTM,classification,12,10,0.5609886665253123,0.8668791223794986,157,39,49
BABA,Services,BiLSTM,classification,12,11,0.5249228735638273,0.9370428797526237,157,39,49
BABA,Services,BiLSTM,classification,12,12,0.5103896353275154,0.9909244836905063,157,39,49
BABA,Services,BiLSTM,classification,12,13,0.503933356256242,1.0180939191426985,157,39,49
BABA,Services,BiLSTM,classification,12,14,0.49123670056367374,1.0344229340553284,157,39,49
BABA,Services,BiLSTM,classification,12,15,0.49960780827103146,1.0956998345179436,157,39,49
BABA,Services,BiLSTM,classification,12,16,0.49311542036427053,1.1469880052101917,157,39,49
BAC,Financial,BiLSTM,classification,12,1,0.7045646368617743,0.6916451680828148,284,71,70
BAC,Financial,BiLSTM,classification,12,2,0.6806358149353887,0.6893485188484192,284,71,70
BAC,Financial,BiLSTM,classification,12,3,0.6637952319333251,0.6865534085622975,284,71,70
BAC,Financial,BiLSTM,classification,12,4,0.6695467980814652,0.6884778167160464,284,71,70
BAC,Financial,BiLSTM,classification,12,5,0.6555752972481956,0.7181919275874823,284,71,70
BAC,Financial,BiLSTM,classification,12,6,0.6515517176037103,0.773478455946479,284,71,70
BAC,Financial,BiLSTM,classification,12,7,0.6382265367978056,0.8901886914817381,284,71,70
BAC,Financial,BiLSTM,classification,12,8,0.6334222613925665,0.8870839468190368,284,71,70
BAC,Financial,BiLSTM,classification,12,9,0.6231380642299921,1.081881991574462,284,71,70
BAC,Financial,BiLSTM,classification,12,10,0.6010311287893376,1.2323447264416116,284,71,70
BAC,Financial,BiLSTM,classification,12,11,0.5958211631842063,1.2795480842321691,284,71,70
BAC,Financial,BiLSTM,classification,12,12,0.6039401888847351,1.3138483410150232,284,71,70
BAC,Financial,BiLSTM,classification,12,13,0.6014688879671232,1.232338762619126,284,71,70
BAC,Financial,BiLSTM,classification,12,14,0.5874943859140638,1.1808554261503086,284,71,70
BAC,Financial,BiLSTM,classification,12,15,0.5920915376972145,1.2940295573691247,284,71,70
BAC,Financial,BiLSTM,classification,12,16,0.5914302930025988,1.295100790514073,284,71,70
BAC,Financial,BiLSTM,classification,12,17,0.5697023037453772,1.3127167132538808,284,71,70
BAC,Financial,BiLSTM,classification,12,18,0.5986306591772698,1.3046496711986166,284,71,70
BHP,Basic Matierials,BiLSTM,classification,12,1,0.7481164808745857,0.6531552672386169,111,27,45
BHP,Basic Matierials,BiLSTM,classification,12,2,0.6694769633782877,0.662145733833313,111,27,45
