number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
76,0.7049494753784028,2026-02-05 00:47:47.313405,2026-02-05 00:50:58.927229,0 days 00:03:11.613824,16,0.8,20,sector_indicators,256,32,5,0.0,0.0011509132666186078,0.8,7,50,LSTM,1,24,2.1446137196676408e-06,,0.7049494753784028,,,,COMPLETE,0.7049494753784028,,,,
102,0.7049351749755379,2026-02-05 01:51:02.939429,2026-02-05 01:54:01.289176,0 days 00:02:58.349747,16,0.7000000000000001,10,sector_text,256,32,5,0.0,0.0010028749567921578,0.8,7,30,BiLSTM,1,24,2.462834470397322e-06,,0.7049351749755379,,,,COMPLETE,0.7049351749755379,,,,
78,0.7048778388836295,2026-02-05 00:53:51.847841,2026-02-05 00:56:25.557356,0 days 00:02:33.709515,16,0.7000000000000001,20,sector_text,256,32,5,0.0,0.0016038736723343334,0.8,7,30,GRU,1,24,1.9183250764664892e-06,,0.7048778388836295,,,,COMPLETE,0.7048778388836295,,,,
201,0.70485345741958,2026-02-05 06:17:56.626697,2026-02-05 06:20:29.548114,0 days 00:02:32.921417,32,0.8,20,sector_indicators,256,64,5,0.4,0.0029534507733098227,0.8,10,20,BiGRU,1,24,3.929211876325965e-05,,0.70485345741958,,,,COMPLETE,0.70485345741958,,,,
101,0.7048324984366398,2026-02-05 01:48:03.977115,2026-02-05 01:51:02.938730,0 days 00:02:58.961615,16,0.7000000000000001,10,sector_text,256,32,5,0.0,0.0008842924054110287,0.8,7,30,BiLSTM,1,24,2.918837432789113e-06,,0.7048324984366398,,,,COMPLETE,0.7048324984366398,,,,
198,0.7047775335702563,2026-02-05 06:10:12.041320,2026-02-05 06:12:49.097200,0 days 00:02:37.055880,32,0.8,20,sector_indicators,256,64,5,0.4,0.002742163717381211,0.8,10,20,BiGRU,1,24,1.7407956171151884e-05,,0.7047775335702563,,,,COMPLETE,0.7047775335702563,,,,
94,0.7047467234262038,2026-02-05 01:31:36.065011,2026-02-05 01:33:57.205609,0 days 00:02:21.140598,16,0.7000000000000001,10,sector_text,256,32,5,0.0,0.0012366227734929606,0.8,7,30,BiGRU,1,24,1.5530316287894685e-06,,0.7047467234262038,,,,COMPLETE,0.7047467234262038,,,,
147,0.7046690482063762,2026-02-05 03:51:53.091593,2026-02-05 03:54:38.455796,0 days 00:02:45.364203,32,0.8,20,sector_indicators,256,64,5,0.0,0.001852383117238254,0.8,5,30,BiGRU,1,24,1.3470310407142154e-05,,0.7046690482063762,,,,COMPLETE,0.7046690482063762,,,,
148,0.7046395701484359,2026-02-05 03:54:38.456464,2026-02-05 03:57:22.130823,0 days 00:02:43.674359,32,0.8,20,sector_text,256,64,5,0.0,0.0016517612945270562,0.8,5,30,BiGRU,1,24,1.896569932513376e-05,,0.7046395701484359,,,,COMPLETE,0.7046395701484359,,,,
151,0.7046314786400427,2026-02-05 04:02:03.986225,2026-02-05 04:04:50.934913,0 days 00:02:46.948688,32,0.8,20,sector_text,256,64,5,0.0,0.0020953403547598367,0.4,5,30,BiGRU,1,24,8.0154756066358e-06,,0.7046314786400427,,,,COMPLETE,0.7046314786400427,,,,
