number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
32,0.6731704290819084,2026-02-08 09:04:16.920709,2026-02-08 09:07:41.659004,0 days 00:03:24.738295,16,0.8,10,sector_text_indicators,128,128,1,0.1,0.006812130717888451,0.8,5,30,BiGRU,2,24,1.3469084391450813e-06,,0.6731704290819084,,,,COMPLETE,0.6731704290819084,,,,
111,0.6730983232139841,2026-02-08 14:01:03.439787,2026-02-08 14:06:07.274945,0 days 00:05:03.835158,16,0.7000000000000001,15,sector_text,256,64,1,0.4,0.004005018481378525,0.4,7,30,GRU,2,36,2.8450487800390403e-07,,0.6730983232139841,,,,COMPLETE,0.6730983232139841,,,,
80,0.6730574834689436,2026-02-08 11:47:07.508490,2026-02-08 11:52:07.958374,0 days 00:05:00.449884,16,0.7000000000000001,15,sector_indicators,256,128,1,0.4,0.002905052348513101,0.4,7,20,BiGRU,1,36,2.5481233098162123e-05,,0.6730574834689436,,,,COMPLETE,0.6730574834689436,,,,
25,0.6730532254168367,2026-02-08 08:47:21.724081,2026-02-08 08:50:31.089900,0 days 00:03:09.365819,16,0.7000000000000001,10,sector_text_indicators,128,128,1,0.1,0.005398334224150963,0.8,5,30,BiGRU,2,24,5.631528596657907e-06,,0.6730532254168367,,,,COMPLETE,0.6730532254168367,,,,
104,0.6729452268165773,2026-02-08 13:27:28.590646,2026-02-08 13:30:28.926722,0 days 00:03:00.336076,16,0.8,15,sector_text,128,64,1,0.4,0.00406098813019697,0.4,7,20,LSTM,2,36,6.028896501938657e-07,,0.6729452268165773,,,,COMPLETE,0.6729452268165773,,,,
34,0.6728408051971811,2026-02-08 09:10:54.839540,2026-02-08 09:14:29.377320,0 days 00:03:34.537780,16,0.8,10,sector_text_indicators,128,128,1,0.0,0.003573082290413427,0.8,5,30,BiGRU,2,30,2.4833144832397736e-06,,0.6728408051971811,,,,COMPLETE,0.6728408051971811,,,,
112,0.6728183468204645,2026-02-08 14:06:07.275737,2026-02-08 14:11:37.260567,0 days 00:05:29.984830,16,0.8,15,sector_text,256,128,1,0.4,0.004620912304163825,0.4,7,30,GRU,2,36,4.299975554583678e-07,,0.6728183468204645,,,,COMPLETE,0.6728183468204645,,,,
97,0.672811753185018,2026-02-08 12:56:15.936028,2026-02-08 13:01:13.744249,0 days 00:04:57.808221,16,0.8,15,sector_text,128,64,1,0.4,0.003320961105095577,0.8,7,20,BiGRU,2,36,1.3357528419669287e-06,,0.672811753185018,,,,COMPLETE,0.672811753185018,,,,
45,0.6726786556500711,2026-02-08 09:40:59.612009,2026-02-08 09:43:38.878661,0 days 00:02:39.266652,16,0.8,15,sector_text,256,128,1,0.4,0.0002477435454574135,0.4,7,20,GRU,1,36,1.3071221241055485e-07,,0.6726786556500711,,,,COMPLETE,0.6726786556500711,,,,
129,0.6724069636709007,2026-02-08 16:01:32.704273,2026-02-08 16:06:49.389883,0 days 00:05:16.685610,16,0.8,15,sector_text,64,128,1,0.4,0.0012468111198745157,0.8,5,30,BiGRU,2,36,3.066487070127401e-07,,0.6724069636709007,,,,COMPLETE,0.6724069636709007,,,,
