number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
102,0.6731653797343332,2026-02-03 23:26:51.933814,2026-02-03 23:27:53.925818,0 days 00:01:01.992004,32,0.5,20,text_indicators,64,64,1,0.0,0.007846955496153657,0.8,5,20,BiGRU,1,24,0.0011538833855801918,,0.6731653797343332,,,,COMPLETE,0.6731653797343332,,,,
18,0.6730841862512161,2026-02-03 16:59:47.431478,2026-02-03 17:00:56.848951,0 days 00:01:09.417473,32,0.5,20,text_indicators,64,64,1,0.0,0.0033268797686780505,0.8,5,20,BiGRU,1,24,0.000446755302322063,,0.6730841862512161,,,,COMPLETE,0.6730841862512161,,,,
83,0.6730136120886386,2026-02-03 22:49:08.036228,2026-02-03 22:50:07.222538,0 days 00:00:59.186310,32,0.6,20,text_indicators,64,64,1,0.0,0.004092298948399239,0.8,5,20,GRU,2,24,9.375888846562729e-06,,0.6730136120886386,,,,COMPLETE,0.6730136120886386,,,,
81,0.6729354175450278,2026-02-03 22:47:05.598752,2026-02-03 22:48:08.216216,0 days 00:01:02.617464,32,0.5,20,text_indicators,64,64,1,0.0,0.008077439332510743,0.8,5,20,GRU,2,24,0.0004280206402002485,,0.6729354175450278,,,,COMPLETE,0.6729354175450278,,,,
58,0.672869774449555,2026-02-03 21:53:26.601169,2026-02-03 21:55:23.302949,0 days 00:01:56.701780,32,0.6,20,text_indicators,128,64,1,0.1,0.005124712476982099,0.8,7,30,LSTM,2,24,0.006017441894380966,,0.672869774449555,,,,COMPLETE,0.672869774449555,,,,
23,0.6727777797233424,2026-02-03 17:08:07.257290,2026-02-03 17:10:00.486463,0 days 00:01:53.229173,32,0.6,20,text_indicators,128,64,1,0.1,0.001355147905249485,0.8,5,20,BiGRU,1,24,0.00843024042633942,,0.6727777797233424,,,,COMPLETE,0.6727777797233424,,,,
106,0.6727672457106486,2026-02-03 23:33:05.090013,2026-02-03 23:37:25.389713,0 days 00:04:20.299700,32,0.5,20,text_indicators,256,64,1,0.0,0.006425906720838778,0.8,5,30,BiLSTM,1,24,0.00034295716574005733,,0.6727672457106486,,,,COMPLETE,0.6727672457106486,,,,
42,0.6727433031475814,2026-02-03 18:17:57.948859,2026-02-03 18:38:18.672898,0 days 00:20:20.724039,32,0.4,20,text_indicators,256,64,1,0.0,0.006731117264533832,0.8,5,20,BiLSTM,1,24,2.116031647969431e-05,,0.6727433031475814,,,,COMPLETE,0.6727433031475814,,,,
93,0.6727422831756026,2026-02-03 23:10:32.571434,2026-02-03 23:11:30.864215,0 days 00:00:58.292781,32,0.5,20,text_indicators,64,64,1,0.0,0.0041186920032788305,0.8,10,20,BiGRU,1,24,5.676986820914954e-06,,0.6727422831756026,,,,COMPLETE,0.6727422831756026,,,,
21,0.6726483388465193,2026-02-03 17:04:22.958104,2026-02-03 17:06:11.160634,0 days 00:01:48.202530,32,0.5,20,text_indicators,128,64,1,0.0,0.0032193197321781298,0.8,5,20,BiGRU,1,24,0.0003926517019334442,,0.6726483388465193,,,,COMPLETE,0.6726483388465193,,,,
118,0.6725481684526784,2026-02-03 23:57:59.399570,2026-02-03 23:59:53.141140,0 days 00:01:53.741570,32,0.4,20,text_indicators,128,64,1,0.0,0.006106228644809118,0.8,5,20,BiGRU,1,24,0.007819808293646471,,0.6725481684526784,,,,COMPLETE,0.6725481684526784,,,,
84,0.6725350073016269,2026-02-03 22:50:07.222991,2026-02-03 22:51:14.844718,0 days 00:01:07.621727,32,0.5,20,text_indicators,64,64,1,0.0,0.009709386614940486,0.8,5,20,GRU,2,30,0.00032968509075485683,,0.6725350073016269,,,,COMPLETE,0.6725350073016269,,,,
61,0.6723233011006954,2026-02-03 22:00:31.780873,2026-02-03 22:04:45.343872,0 days 00:04:13.562999,32,0.5,20,text_indicators,256,64,1,0.0,0.0014204294936655283,0.8,5,50,BiLSTM,1,24,0.0032888560418316984,,0.6723233011006954,,,,COMPLETE,0.6723233011006954,,,,
