company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
MDT,Healthcare,GRU,classification,1,,,,0.0,0.696969696969697,0.5348837209302325,1.0,0.5348837209302325,173,104,26,43,20,0.33999999999999997,0.7567567567567568
MMM,Industrial Goods,GRU,classification,1,,,,0.10938093234364604,0.6153846153846154,0.5517241379310345,0.6956521739130435,0.5555555555555556,225,144,36,45,20,0.42999999999999994,0.6274509803921569
MO,Consumer Goods,GRU,classification,1,,,,0.0,0.6956521739130435,0.5333333333333333,1.0,0.5333333333333333,225,144,36,45,20,0.05,0.8
MRK,Healthcare,GRU,classification,1,,,,0.0,0.6923076923076923,0.5294117647058824,1.0,0.5294117647058824,311,208,52,51,20,0.3999999999999999,0.6197183098591549
MSFT,Technology,GRU,classification,1,,,,0.13858697343671667,0.48484848484848486,0.6666666666666666,0.38095238095238093,0.5405405405405406,447,299,74,74,20,0.33499999999999996,0.6451612903225806
NVS,Healthcare,GRU,classification,1,,,,0.0,0.6551724137931034,0.48717948717948717,1.0,0.48717948717948717,158,96,23,39,20,0.05,0.6470588235294118
ORCL,Technology,GRU,classification,1,,,,0.0,0.6363636363636364,0.4666666666666667,1.0,0.4666666666666667,273,183,45,45,20,0.44499999999999995,0.6666666666666666
PCLN,Services,GRU,classification,1,,,,0.16341920479090136,0.2222222222222222,0.8333333333333334,0.1282051282051282,0.4852941176470588,408,272,68,68,20,0.30499999999999994,0.6896551724137931
PEP,Consumer Goods,GRU,classification,1,,,,0.0,0.6666666666666666,0.5,1.0,0.5,222,143,35,44,20,0.05,0.6538461538461539
PFE,Healthcare,GRU,classification,1,,,,0.1143230762267085,0.5666666666666667,0.5151515151515151,0.6296296296296297,0.5517241379310345,348,232,58,58,20,0.37499999999999994,0.6349206349206349
PG,Consumer Goods,GRU,classification,1,,,,0.0,0.7692307692307693,0.625,1.0,0.625,288,192,48,48,20,0.43499999999999994,0.5483870967741935
SLB,Basic Matierials,GRU,classification,1,,,,0.0,0.5185185185185185,0.35,1.0,0.35,204,132,32,40,20,0.31499999999999995,0.6153846153846154
SO,Utilities,GRU,classification,1,,,,-0.018781205660633703,0.6274509803921569,0.5333333333333333,0.7619047619047619,0.5128205128205128,159,96,24,39,20,0.37499999999999994,0.6666666666666666
T,Technology,GRU,classification,1,,,,0.0,0.6666666666666666,0.5,1.0,0.5,460,308,76,76,20,0.32999999999999996,0.6804123711340206
UNH,Healthcare,GRU,classification,1,,,,0.15075567228888181,0.6764705882352942,0.5227272727272727,0.9583333333333334,0.5416666666666666,241,155,38,48,20,0.4149999999999999,0.6808510638297872
UPS,Services,GRU,classification,1,,,,0.0,0.6557377049180327,0.5555555555555556,0.8,0.5333333333333333,183,111,27,45,20,0.3449999999999999,0.5294117647058824
UTX,Industrial Goods,GRU,classification,1,,,,-0.12009611535381536,0.0,0.0,0.0,0.6097560975609756,205,132,32,41,20,0.49999999999999994,0.7391304347826086
V,Financial,GRU,classification,1,,,,0.055009861401563574,0.6388888888888888,0.5609756097560976,0.7419354838709677,0.543859649122807,345,231,57,57,20,0.41999999999999993,0.7727272727272727
VZ,Technology,GRU,classification,1,,,,-0.03571428571428571,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4827586206896552,349,233,58,58,20,0.565,0.6785714285714286
WFC,Financial,GRU,classification,1,,,,0.0,0.6904761904761905,0.5272727272727272,1.0,0.5272727272727272,332,222,55,55,20,0.35999999999999993,0.7341772151898734
WMT,Services,GRU,classification,1,,,,0.0,0.6744186046511628,0.5087719298245614,1.0,0.5087719298245614,346,232,57,57,20,0.4649999999999999,0.6410256410256411
XOM,Basic Matierials,GRU,classification,1,,,,0.0,0.6521739130434783,0.4838709677419355,1.0,0.4838709677419355,376,252,62,62,20,0.3999999999999999,0.6046511627906976
