company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
CMCSA,Services,LSTM,classification,5,,,,0.0,0.6206896551724138,0.5,0.8181818181818182,0.5,265,172,39,44,16,0.44499999999999995,0.8333333333333334
CSCO,Technology,LSTM,classification,5,,,,0.1701758234142103,0.6493506493506493,0.5319148936170213,0.8333333333333334,0.5645161290322581,372,243,57,62,20,0.4149999999999999,0.717948717948718
CVX,Basic Matierials,LSTM,classification,5,,,,0.12211165141482368,0.4888888888888889,0.55,0.44,0.5660377358490566,323,211,49,53,17,0.5499999999999999,0.7457627118644068
D,Utilities,LSTM,classification,5,,,,0.21911271214340206,0.7047619047619048,0.5441176470588235,1.0,0.5633802816901409,427,280,66,71,20,0.26499999999999996,0.82
DIS,Services,LSTM,classification,5,,,,0.0,0.7368421052631579,0.5833333333333334,1.0,0.5833333333333334,365,239,56,60,16,0.05,0.6976744186046512
FB,Technology,LSTM,classification,5,,,,0.3339737437860371,0.4,1.0,0.25,0.5324675324675324,463,304,72,77,17,0.4749999999999999,0.7572815533980582
GE,Industrial Goods,LSTM,classification,5,,,,0.11876493424979649,0.5866666666666667,0.7586206896551724,0.4782608695652174,0.5303030303030303,401,263,62,66,20,0.24999999999999994,0.631578947368421
GOOG,Technology,LSTM,classification,5,,,,0.18418218405447612,0.627906976744186,0.75,0.54,0.5789473684210527,460,303,71,76,19,0.295,0.7428571428571429
HD,Services,LSTM,classification,5,,,,0.0,0.7901234567901234,0.6530612244897959,1.0,0.6530612244897959,295,192,44,49,16,0.05,0.6865671641791045
INTC,Technology,LSTM,classification,5,,,,0.0,0.7238095238095238,0.5671641791044776,1.0,0.5671641791044776,404,265,62,67,16,0.05,0.6521739130434783
JNJ,Healthcare,LSTM,classification,5,,,,0.39376566662507606,0.7164179104477612,0.8571428571428571,0.6153846153846154,0.6779661016949152,356,233,54,59,16,0.5199999999999999,0.6582278481012658
JPM,Financial,LSTM,classification,5,,,,0.0,0.7476635514018691,0.5970149253731343,1.0,0.5970149253731343,403,264,62,67,17,0.4649999999999999,0.696969696969697
LMT,Industrial Goods,LSTM,classification,5,,,,0.0,0.647887323943662,0.4791666666666667,1.0,0.4791666666666667,193,111,24,48,16,0.05,0.8837209302325582
MA,Financial,LSTM,classification,5,,,,0.0,0.7246376811594203,0.5681818181818182,1.0,0.5681818181818182,264,171,39,44,16,0.05,0.7619047619047619
MCD,Services,LSTM,classification,5,,,,0.21029686931248023,0.6571428571428571,0.8214285714285714,0.5476190476190477,0.5862068965517241,351,230,53,58,21,0.37999999999999995,0.7407407407407407
MDT,Healthcare,LSTM,classification,5,,,,-0.2260605409542738,0.6129032258064516,0.4634146341463415,0.9047619047619048,0.4418604651162791,173,99,21,43,22,0.4649999999999999,0.6153846153846154
MMM,Industrial Goods,LSTM,classification,5,,,,0.0,0.75,0.6,1.0,0.6,225,139,31,45,16,0.05,0.5238095238095238
MO,Consumer Goods,LSTM,classification,5,,,,0.0,0.7671232876712328,0.6222222222222222,1.0,0.6222222222222222,225,139,31,45,16,0.05,0.8928571428571429
MRK,Healthcare,LSTM,classification,5,,,,0.0,0.6923076923076923,0.5294117647058824,1.0,0.5294117647058824,311,203,47,51,21,0.42499999999999993,0.6666666666666666
MSFT,Technology,LSTM,classification,5,,,,0.22676923921923792,0.5753424657534246,0.75,0.4666666666666667,0.581081081081081,447,294,69,74,18,0.5049999999999999,0.6875
NVS,Healthcare,LSTM,classification,5,,,,0.0,0.631578947368421,0.46153846153846156,1.0,0.46153846153846156,158,91,18,39,16,0.05,0.6666666666666666
ORCL,Technology,LSTM,classification,5,,,,0.0,0.7142857142857143,0.5555555555555556,1.0,0.5555555555555556,273,178,40,45,16,0.48999999999999994,0.4444444444444444
PCLN,Services,LSTM,classification,5,,,,0.18884294096235507,0.7111111111111111,0.6274509803921569,0.8205128205128205,0.6176470588235294,408,267,63,68,18,0.37499999999999994,0.6428571428571429
PEP,Consumer Goods,LSTM,classification,5,,,,0.09245003270420485,0.5833333333333334,0.6363636363636364,0.5384615384615384,0.5454545454545454,222,138,30,44,26,0.4099999999999999,0.8
PFE,Healthcare,LSTM,classification,5,,,,0.0,0.5679012345679012,0.39655172413793105,1.0,0.39655172413793105,348,227,53,58,17,0.05,0.675
PG,Consumer Goods,LSTM,classification,5,,,,0.0,0.7027027027027027,0.5416666666666666,1.0,0.5416666666666666,288,187,43,48,16,0.05,0.6349206349206349
SLB,Basic Matierials,LSTM,classification,5,,,,0.0,0.5964912280701754,0.425,1.0,0.425,204,127,27,40,16,0.05,0.45714285714285713
SO,Utilities,LSTM,classification,5,,,,-0.27108652350459334,0.6181818181818182,0.5483870967741935,0.7083333333333334,0.46153846153846156,159,91,19,39,24,0.5049999999999999,0.6666666666666666
T,Technology,LSTM,classification,5,,,,0.0,0.7008547008547008,0.5394736842105263,1.0,0.5394736842105263,460,303,71,76,19,0.37999999999999995,0.6956521739130435
UNH,Healthcare,LSTM,classification,5,,,,0.0,0.72,0.5625,1.0,0.5625,241,150,33,48,26,0.3499999999999999,0.76
UPS,Services,LSTM,classification,5,,,,0.0,0.6567164179104478,0.4888888888888889,1.0,0.4888888888888889,183,106,22,45,16,0.05,0.5806451612903226
UTX,Industrial Goods,LSTM,classification,5,,,,0.0,0.6101694915254238,0.43902439024390244,1.0,0.43902439024390244,205,127,27,41,16,0.5099999999999999,0.5
V,Financial,LSTM,classification,5,,,,0.0,0.7333333333333333,0.5789473684210527,1.0,0.5789473684210527,345,226,52,57,16,0.05,0.7619047619047619
VZ,Technology,LSTM,classification,5,,,,0.0,0.6966292134831461,0.5344827586206896,1.0,0.5344827586206896,349,228,53,58,16,0.05,0.6410256410256411
WFC,Financial,LSTM,classification,5,,,,0.0,0.75,0.6,1.0,0.6,332,217,50,55,16,0.05,0.7012987012987013
WMT,Services,LSTM,classification,5,,,,0.0,0.7045454545454546,0.543859649122807,1.0,0.543859649122807,346,227,52,57,16,0.05,0.5142857142857142
XOM,Basic Matierials,LSTM,classification,5,,,,0.0,0.7843137254901961,0.6451612903225806,1.0,0.6451612903225806,376,247,57,62,16,0.05,0.6097560975609756
