company,sector,model_type,problem_type,sequence_length,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
BAC,Financial,LSTM,classification,12,4,0.6806139962773927,0.6940741916777382,284,71,70
BAC,Financial,LSTM,classification,12,5,0.6680526405992643,0.6971590972282518,284,71,70
BAC,Financial,LSTM,classification,12,6,0.6621709759806244,0.7236060701625447,284,71,70
BAC,Financial,LSTM,classification,12,7,0.6430831467601615,0.8025295902305926,284,71,70
BAC,Financial,LSTM,classification,12,8,0.6476414245618901,0.9068420655290845,284,71,70
BAC,Financial,LSTM,classification,12,9,0.6307485624098442,0.945465947540713,284,71,70
BAC,Financial,LSTM,classification,12,10,0.6407635027254132,1.0100842848630018,284,71,70
BAC,Financial,LSTM,classification,12,11,0.6205642307308358,1.0865560635714464,284,71,70
BAC,Financial,LSTM,classification,12,12,0.6288654946945083,1.0857522017519239,284,71,70
BAC,Financial,LSTM,classification,12,13,0.627604560113289,1.0810802318680455,284,71,70
BAC,Financial,LSTM,classification,12,14,0.6130874853738597,1.13713744492598,284,71,70
BAC,Financial,LSTM,classification,12,15,0.6179305541683251,1.1422732262544228,284,71,70
BAC,Financial,LSTM,classification,12,16,0.6105028936560725,1.154067336673468,284,71,70
BHP,Basic Matierials,LSTM,classification,12,1,0.6947117356566695,0.6855679750442505,111,27,45
BHP,Basic Matierials,LSTM,classification,12,2,0.6830760729205501,0.6908408403396606,111,27,45
BHP,Basic Matierials,LSTM,classification,12,3,0.649363610121581,0.6988590359687805,111,27,45
BHP,Basic Matierials,LSTM,classification,12,4,0.6379083169473184,0.7103919386863708,111,27,45
BHP,Basic Matierials,LSTM,classification,12,5,0.6428490098532256,0.7247893214225769,111,27,45
BHP,Basic Matierials,LSTM,classification,12,6,0.6267860080744769,0.7407394647598267,111,27,45
BHP,Basic Matierials,LSTM,classification,12,7,0.617689446823017,0.7588949799537659,111,27,45
BHP,Basic Matierials,LSTM,classification,12,8,0.6243127299858643,0.781707763671875,111,27,45
BHP,Basic Matierials,LSTM,classification,12,9,0.5976757718636109,0.8176186084747314,111,27,45
BHP,Basic Matierials,LSTM,classification,12,10,0.5860793880514197,0.8575366735458374,111,27,45
BHP,Basic Matierials,LSTM,classification,12,11,0.5863876890491795,0.9117714762687683,111,27,45
BHP,Basic Matierials,LSTM,classification,12,12,0.6150946976902248,0.9781973361968994,111,27,45
BHP,Basic Matierials,LSTM,classification,12,13,0.5966360316620217,1.0558968782424927,111,27,45
BHP,Basic Matierials,LSTM,classification,12,14,0.6035707603703748,1.139404296875,111,27,45
BHP,Basic Matierials,LSTM,classification,12,15,0.5830069307808403,1.2280504703521729,111,27,45
BHP,Basic Matierials,LSTM,classification,12,16,0.5989762249293628,1.3384630680084229,111,27,45
BP,Basic Matierials,LSTM,classification,12,1,0.6937730389482835,0.6957479743730455,170,42,42
BP,Basic Matierials,LSTM,classification,12,2,0.668566577574786,0.6944153337251573,170,42,42
BP,Basic Matierials,LSTM,classification,12,3,0.6491815272499534,0.6925536791483561,170,42,42
BP,Basic Matierials,LSTM,classification,12,4,0.6389057958827299,0.690718188172295,170,42,42
BP,Basic Matierials,LSTM,classification,12,5,0.6368470865137437,0.6898550731795174,170,42,42
BP,Basic Matierials,LSTM,classification,12,6,0.6303448957555434,0.6922180567468915,170,42,42
BP,Basic Matierials,LSTM,classification,12,7,0.6229282652630526,0.6980957786242167,170,42,42
BP,Basic Matierials,LSTM,classification,12,8,0.6027151514502133,0.7158598729542324,170,42,42
BP,Basic Matierials,LSTM,classification,12,9,0.6147639274597168,0.7444667901311602,170,42,42
BP,Basic Matierials,LSTM,classification,12,10,0.6112933621687048,0.7945112415722438,170,42,42
BP,Basic Matierials,LSTM,classification,12,11,0.5973643401089836,0.8733522154036022,170,42,42
BP,Basic Matierials,LSTM,classification,12,12,0.58131484003628,1.0126275987852187,170,42,42
BP,Basic Matierials,LSTM,classification,12,13,0.5931560677640578,1.112441204843067,170,42,42
BP,Basic Matierials,LSTM,classification,12,14,0.5603619712240556,1.21603296484266,170,42,42
BP,Basic Matierials,LSTM,classification,12,15,0.5782310759319979,1.2675378379367648,170,42,42
BP,Basic Matierials,LSTM,classification,12,16,0.5811913223827586,1.2099617435818626,170,42,42
BP,Basic Matierials,LSTM,classification,12,17,0.5711990791208604,1.196227720805577,170,42,42
BP,Basic Matierials,LSTM,classification,12,18,0.5397649582694558,1.2196459145773024,170,42,42
BP,Basic Matierials,LSTM,classification,12,19,0.5482401258805218,1.2554125445229667,170,42,42
BP,Basic Matierials,LSTM,classification,12,20,0.5513833712129032,1.2204179934092931,170,42,42
C,Financial,LSTM,classification,12,1,0.6976645017750172,0.6906137273345195,287,71,71
C,Financial,LSTM,classification,12,2,0.6577949746145189,0.693289514158813,287,71,71
C,Financial,LSTM,classification,12,3,0.6576395452230234,0.6958117367516101,287,71,71
C,Financial,LSTM,classification,12,4,0.6477757887557823,0.7056642602866804,287,71,71
C,Financial,LSTM,classification,12,5,0.6409670025214086,0.728781371049478,287,71,71
C,Financial,LSTM,classification,12,6,0.6135252084881586,0.7613938089827417,287,71,71
C,Financial,LSTM,classification,12,7,0.6278955581296196,0.7928813754672736,287,71,71
C,Financial,LSTM,classification,12,8,0.6213362266793069,0.8113535617438841,287,71,71
C,Financial,LSTM,classification,12,9,0.5982554382563469,0.8081382790081938,287,71,71
C,Financial,LSTM,classification,12,10,0.6052528100562012,0.8120372211429435,287,71,71
C,Financial,LSTM,classification,12,11,0.6015059904354375,0.8369944213141858,287,71,71
C,Financial,LSTM,classification,12,12,0.606202787846223,0.8685433276942078,287,71,71
C,Financial,LSTM,classification,12,13,0.5991528783941102,0.8804413508361494,287,71,71
C,Financial,LSTM,classification,12,14,0.5928854641183328,0.879812369044398,287,71,71
C,Financial,LSTM,classification,12,15,0.5838687276590991,0.8998608328926732,287,71,71
C,Financial,LSTM,classification,12,16,0.5841510891914368,0.9140277958252061,287,71,71
