number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,state
43,-0.011662911732658814,2026-03-03 03:20:25.561764,2026-03-03 03:27:20.566779,0 days 00:06:55.005015,64,0.6000000000000001,0.00648185180639238,20,sector_all_nlp,256,32,1,0.27321426233541973,0.4,7.229275831880524e-05,0.4,10,20,BiLSTM,1,20,1.663683132943673e-06,COMPLETE
0,-0.011666979374152618,2026-03-02 21:53:46.544884,2026-03-02 21:59:55.418774,0 days 00:06:08.873890,64,0.5,0.006842330265121569,20,sector_sentiment,64,128,1,0.2855770166121293,0.1,6.672367170464208e-05,0.8,10,20,BiLSTM,1,5,0.0001382623217936986,COMPLETE
51,-0.011668351894108699,2026-03-03 04:19:36.925035,2026-03-03 04:26:53.544481,0 days 00:07:16.619446,32,0.8,0.009114288785858642,10,sector_emotion,256,32,1,0.9366886534626372,0.4,1.8360938620502652e-05,0.8,10,20,BiLSTM,1,15,8.928762690934176e-07,COMPLETE
44,-0.011669482944889769,2026-03-03 03:27:20.567752,2026-03-03 03:33:49.911011,0 days 00:06:29.343259,64,0.7000000000000001,0.0075427818227891226,15,sector_sentiment,256,32,1,0.19894640832828347,0.30000000000000004,1.6418648131499565e-05,0.4,10,50,LSTM,2,15,1.2019627391033673e-07,COMPLETE
94,-0.011669563428377711,2026-03-03 09:25:07.313930,2026-03-03 09:31:48.858309,0 days 00:06:41.544379,64,0.4,0.009140098690732715,15,sector_sentiment,256,32,1,0.4798187321723857,0.4,3.469645261853366e-06,0.8,5,20,BiLSTM,1,10,4.55047287712761e-06,COMPLETE
39,-0.011673812479483599,2026-03-03 02:53:08.055246,2026-03-03 03:00:02.709888,0 days 00:06:54.654642,64,0.4,0.008304855312043863,15,sector_emotion,256,128,1,1.4098642457724495,0.4,3.8873570988230125e-05,0.8,5,20,BiLSTM,2,5,1.043365311204365e-05,COMPLETE
47,-0.011673979583300145,2026-03-03 03:54:03.813956,2026-03-03 04:01:17.089249,0 days 00:07:13.275293,64,0.5,0.0070525895546902865,20,sector_sentiment,256,32,1,0.3168682037539806,0.4,1.299745212366403e-05,0.8,10,30,BiGRU,1,20,3.183118916543628e-07,COMPLETE
72,-0.011677159443495212,2026-03-03 06:37:11.942636,2026-03-03 06:44:13.372307,0 days 00:07:01.429671,64,0.7000000000000001,0.009557016438855558,15,sector_sentiment,64,32,1,0.809190019608596,0.2,0.0006408522015255236,0.4,10,30,BiLSTM,2,10,2.6012439953037657e-06,COMPLETE
61,-0.011683213399232065,2026-03-03 05:23:09.614846,2026-03-03 05:28:57.443220,0 days 00:05:47.828374,64,0.6000000000000001,0.00971189898914449,10,sector_unified_emotion,128,32,1,1.391341429360365,0.2,1.3147269597387554e-06,0.8,10,50,LSTM,1,10,2.9398534060092996e-05,COMPLETE
30,-0.011687768301048826,2026-03-03 01:44:08.169858,2026-03-03 01:57:15.573913,0 days 00:13:07.404055,16,0.1,0.008641413891812593,20,sector_all_nlp,256,128,1,1.6648939782890215,0.4,3.2659224320726e-06,0.8,5,20,BiLSTM,2,5,3.18589843607706e-05,COMPLETE
63,-0.01168881497659615,2026-03-03 05:34:59.475865,2026-03-03 05:40:53.428651,0 days 00:05:53.952786,64,0.5,0.009720785521962568,10,sector_unified_emotion,256,64,1,0.6298634336200389,0.4,9.417211760304433e-06,0.8,10,50,LSTM,1,20,1.9013705339516627e-05,COMPLETE
13,-0.011689913333101902,2026-03-02 23:30:33.927650,2026-03-02 23:36:42.557444,0 days 00:06:08.629794,64,0.6000000000000001,0.004843182486605268,15,sector_all_nlp,64,64,1,1.6254198909723239,0.4,7.626456173790867e-06,0.8,10,30,BiLSTM,1,10,4.0231556406347023e-05,COMPLETE
34,-0.011690224932561747,2026-03-03 02:17:26.678077,2026-03-03 02:26:24.478136,0 days 00:08:57.800059,32,0.0,0.0015830341980602202,15,sector_finbert,64,32,1,0.41073702633317444,0.30000000000000004,0.0001888866066945224,0.8,7,50,BiLSTM,2,10,1.1937431236977459e-06,COMPLETE
25,-0.011700199179504447,2026-03-03 01:04:07.103206,2026-03-03 01:10:37.292879,0 days 00:06:30.189673,64,0.4,0.004747401734586796,20,sector_unified_emotion,256,128,1,1.6000830639908,0.4,1.6604815553386465e-06,0.8,5,20,GRU,2,5,7.740503663435804e-06,COMPLETE
