number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc,params_horizon_steps
83,0.0700384136918418,2026-03-05 12:35:24.714394,2026-03-05 13:00:28.484872,0 days 00:25:03.770478,32,4,0.6000000000000001,0.0083619764795558,10,sector_emotion,128,32,0.208745128842159,0.3,0.0124856413588157,0.001700228686239,0.4,10,20,LSTM,6,1,corn,15,3.1434962382587277,1.1370822380179029,15,0.8325044344823656,0.192034506266595,21,0.0003201548839449,0.5177801724137931,0.1126456643636314,0.0700384136918418,0.1867816091954023,COMPLETE,0.1126456643636314,0.1867816091954023,0.5177801724137931,0.0700384136918418,1
8,0.0697434281801124,2026-03-03 22:21:38.295192,2026-03-03 23:18:09.542728,0 days 00:56:31.247536,16,6,0.5,0.003267926507092,20,sector_sentiment,64,64,1.4993847158615887,0.2,0.004034060870123,0.0010762465658526,0.8,10,50,LSTM,6,2,coral,5,2.2948611709702234,0.4713757875698379,21,0.689032504327464,0.3295568034937337,21,0.0001655817561107,0.5256824712643678,0.1200491576919813,0.0697434281801124,0.1795977011494252,COMPLETE,0.1200491576919813,0.1795977011494252,0.5256824712643678,0.0697434281801124,1
89,0.0696007073230897,2026-03-05 14:37:21.531452,2026-03-05 15:10:25.770352,0 days 00:33:04.238900,64,6,0.1,0.0055559705860676,15,sector_unified_emotion,128,32,0.692716231391969,0.4,0.0120566350068725,0.0034922027974145,0.8,5,50,BiGRU,6,2,coral,10,2.191782645706105,0.5101705504849707,9,0.7835100671913988,0.1313721296200308,31,0.0009812923445934,0.5201149425287356,0.1224636682571725,0.0696007073230897,0.1752873563218391,COMPLETE,0.1224636682571725,0.1752873563218391,0.5201149425287356,0.0696007073230897,1
59,0.0693017493365732,2026-03-05 00:26:07.274347,2026-03-05 00:49:48.426725,0 days 00:23:41.152378,64,4,0.5,0.008281711693138,10,sector_finbert,128,32,0.4507737271818771,0.1,0.0215141199341684,0.0007493507113529,0.4,7,30,LSTM,6,1,corn,10,3.256639155956638,0.6762610652543968,15,0.8715832747462057,0.2146042808035858,21,0.0001661459441904,0.5195761494252874,0.1064304535477887,0.0693017493365732,0.1799568965517241,COMPLETE,0.1064304535477887,0.1799568965517241,0.5195761494252874,0.0693017493365732,1
52,0.069165199336067,2026-03-04 21:51:38.996013,2026-03-04 22:51:57.322011,0 days 01:00:18.325998,32,4,0.6000000000000001,0.0065679053555606,20,sector_emotion,128,32,0.3692559946626225,0.4,0.0231673526121635,0.000507853320087,0.4,7,20,BiGRU,6,1,coral,15,3.193335395602134,1.093276881218813,21,0.8336092698672326,0.2088660884883015,41,6.008753019229504e-06,0.5181393678160919,0.1076263031855725,0.069165199336067,0.1526580459770115,COMPLETE,0.1076263031855725,0.1526580459770115,0.5181393678160919,0.069165199336067,1
58,0.0687360452310415,2026-03-05 00:08:18.022656,2026-03-05 00:26:07.273556,0 days 00:17:49.250900,32,2,0.0,0.0076778944532954,10,sector_emotion,64,64,0.2535028549870259,0.2,0.0209327303573203,0.0026261434611498,0.4,7,20,BiGRU,6,1,corn,20,2.803910094421214,0.4113929984475847,21,0.7996202107252498,0.3716556803574358,21,4.045002092456366e-07,0.5183189655172413,0.1166200284005193,0.0687360452310415,0.1831896551724137,COMPLETE,0.1166200284005193,0.1831896551724137,0.5183189655172413,0.0687360452310415,1
42,0.0679997448040596,2026-03-04 17:26:03.232720,2026-03-04 18:00:54.069654,0 days 00:34:50.836934,32,6,0.6000000000000001,0.0052269949134079,15,sector_emotion,64,32,0.782357511136708,0.3,0.0045451994353421,0.0009908970787911,0.4,7,20,LSTM,6,1,corn,10,2.819283807029506,0.3202390927799264,15,0.8874891759578778,0.2175994736121249,21,3.754164962268559e-05,0.5199353448275862,0.1335616522096846,0.0679997448040596,0.2054597701149425,COMPLETE,0.1335616522096846,0.2054597701149425,0.5199353448275862,0.0679997448040596,1
29,0.0679544977912425,2026-03-04 12:44:43.283761,2026-03-04 12:58:50.298522,0 days 00:14:07.014761,32,2,0.1,0.0084207031439188,15,sector,64,128,0.2992728068188861,0.0,0.0326818557354805,0.0024376747082484,0.8,5,50,LSTM,6,1,corn,15,3.1991902651685535,0.612412245717741,15,0.8224004776041202,0.2949977374434813,21,8.95846404655425e-06,0.5172413793103449,0.1159520389691323,0.0679544977912425,0.1916307471264367,COMPLETE,0.1159520389691323,0.1916307471264367,0.5172413793103449,0.0679544977912425,1
46,0.067458931635215,2026-03-04 19:10:43.336132,2026-03-04 19:44:35.010686,0 days 00:33:51.674554,32,4,0.5,0.0078137230874526,10,sector_emotion,128,32,0.1211276038590953,0.2,0.0886280882663238,0.0012271780397499,0.4,7,20,BiLSTM,6,1,corn,15,2.28584694705119,0.5413280355291178,15,0.8912506124772017,0.18666685079306,31,0.0001536089677587,0.5154454022988506,0.1184065289644516,0.067458931635215,0.183728448275862,COMPLETE,0.1184065289644516,0.183728448275862,0.5154454022988506,0.067458931635215,1
16,0.0671967339708143,2026-03-04 06:54:50.668462,2026-03-04 07:44:30.434312,0 days 00:49:39.765850,16,6,0.3,0.0057571877875171,10,sector_finbert,128,32,1.2052986025614203,0.4,0.0034589303997462,0.001349009773289,0.4,5,50,BiLSTM,6,1,coral,10,2.295605052129019,0.4327080158406415,21,0.8902223458609997,0.1400826610012789,21,0.0001283537257051,0.5131106321839081,0.11714112154425,0.0671967339708143,0.1752873563218391,COMPLETE,0.11714112154425,0.1752873563218391,0.5131106321839081,0.0671967339708143,1
28,0.0670717059393954,2026-03-04 12:13:57.987233,2026-03-04 12:44:43.282964,0 days 00:30:45.295731,16,2,0.0,0.0066948605358705,20,sector_emotion,64,64,0.8099121548389494,0.1,0.0390550986806922,0.000330805828996,0.4,7,20,BiGRU,6,2,corn,20,2.83995997810151,0.3682635856724942,21,0.8005542834711621,0.3216842304641322,31,5.557989479276002e-07,0.5220905172413793,0.1259751588707345,0.0670717059393954,0.1900143678160919,COMPLETE,0.1259751588707345,0.1900143678160919,0.5220905172413793,0.0670717059393954,1
66,0.0668158717262971,2026-03-05 03:59:40.174538,2026-03-05 04:31:19.251645,0 days 00:31:39.077107,32,6,0.0,0.0036608363447381,10,sector_emotion,128,32,1.1154934091851634,0.3,0.0424383729974188,0.0024463416228821,0.8,5,50,BiGRU,6,1,coral,5,3.0804003652408616,0.2314272059906377,9,0.7085915387958511,0.2538551021601823,31,0.0003059593873736,0.5195761494252874,0.1163303889255721,0.0668158717262971,0.1639727011494252,COMPLETE,0.1163303889255721,0.1639727011494252,0.5195761494252874,0.0668158717262971,1
26,0.0666654410988789,2026-03-04 10:36:24.492337,2026-03-04 11:24:12.711922,0 days 00:47:48.219585,32,6,0.0,0.0077180803196425,10,sector_emotion,128,64,1.228462083275421,0.4,0.0310727713211562,0.0004402074316643,0.8,5,30,GRU,6,2,coral,5,3.0143846528905773,0.2795736275888007,21,0.8800754889158212,0.1033344111804293,21,0.0004094170614825,0.5290948275862069,0.1180296563777641,0.0666654410988789,0.1788793103448276,COMPLETE,0.1180296563777641,0.1788793103448276,0.5290948275862069,0.0666654410988789,1
13,0.0662637777693585,2026-03-04 03:44:33.772528,2026-03-04 04:26:07.291174,0 days 00:41:33.518646,32,6,0.0,0.0054122848413441,10,sector_emotion,128,32,0.1955490606872738,0.1,0.0938550924538676,0.0075321678999121,0.8,7,20,LSTM,6,1,coral,20,3.1920098609428353,0.6555189147248242,9,0.8481754801202291,0.2005898488085622,41,3.3884150106481946e-06,0.5193965517241379,0.1121008520374665,0.0662637777693585,0.1610991379310344,COMPLETE,0.1121008520374665,0.1610991379310344,0.5193965517241379,0.0662637777693585,1
45,0.0659309803110916,2026-03-04 18:55:12.734443,2026-03-04 19:10:43.334999,0 days 00:15:30.600556,32,4,0.3,0.0090715505764727,10,sector_emotion,64,128,0.6415321025500406,0.2,0.0168684680635089,0.0023405082742488,0.8,7,20,LSTM,6,1,corn,20,2.114219055230739,0.2536344854245283,9,0.7424782171080677,0.2654781630189676,21,3.2274432666407455e-06,0.5222701149425287,0.1229922688059772,0.0659309803110916,0.1991738505747126,COMPLETE,0.1229922688059772,0.1991738505747126,0.5222701149425287,0.0659309803110916,1
55,0.0657854175467218,2026-03-04 23:18:02.444667,2026-03-04 23:34:01.821481,0 days 00:15:59.376814,32,4,0.5,0.0083777429902341,15,sector,128,32,0.5712492811149019,0.2,0.0494496919773282,0.0031135338543249,0.4,10,20,LSTM,6,1,corn,15,3.172551746242692,0.8053091529710907,9,0.8543011630077197,0.22160223538465,21,2.2185392981235236e-05,0.5150862068965517,0.1209070681460457,0.0657854175467218,0.1858836206896551,COMPLETE,0.1209070681460457,0.1858836206896551,0.5150862068965517,0.0657854175467218,1
32,0.0656441592962418,2026-03-04 13:48:17.530107,2026-03-04 14:20:57.893946,0 days 00:32:40.363839,64,4,0.4,0.009465126141937,10,sector_emotion,128,32,0.8119515751795523,0.1,0.0115264886822465,0.0037733198701188,0.8,5,50,BiGRU,6,1,corn,15,3.0468652216219683,0.8501915001017875,15,0.8226647988206796,0.1884584639780655,31,1.3809280992434417e-05,0.5174209770114943,0.1119414253691415,0.0656441592962418,0.1774425287356321,COMPLETE,0.1119414253691415,0.1774425287356321,0.5174209770114943,0.0656441592962418,1
6,0.0654294999123815,2026-03-03 21:02:10.766783,2026-03-03 21:27:51.465953,0 days 00:25:40.699170,64,2,0.2,0.0024881046147739,10,sector_unified_emotion,64,64,1.0772932213639643,0.4,0.0193962333506138,0.0048592285002023,0.8,5,50,BiLSTM,6,2,coral,15,1.624858524484157,0.3425015804240986,21,0.7119181613738592,0.216054344267227,31,0.0001602572380839,0.5129310344827587,0.123367869007777,0.0654294999123815,0.1812140804597701,COMPLETE,0.123367869007777,0.1812140804597701,0.5129310344827587,0.0654294999123815,1
49,0.0649037994740437,2026-03-04 20:16:33.030241,2026-03-04 21:01:39.838350,0 days 00:45:06.808109,32,4,0.5,0.0068005488686862,20,sector_emotion,128,32,0.3356410781103033,0.2,0.0162226671316421,0.0014882208272116,0.4,7,20,LSTM,6,2,corn,10,2.5179181778672515,0.5696989584144971,15,0.795743643731568,0.2917748151328116,41,0.0004161024931178,0.5188577586206896,0.1210695682771491,0.0649037994740437,0.1803160919540229,COMPLETE,0.1210695682771491,0.1803160919540229,0.5188577586206896,0.0649037994740437,1
62,0.0640957913201437,2026-03-05 01:39:58.821934,2026-03-05 02:49:13.694371,0 days 01:09:14.872437,32,6,0.1,0.0054581414396586,10,sector_all_nlp,128,32,0.9364000448923464,0.4,0.0519537603757962,0.0042361753170091,0.4,7,30,LSTM,6,1,coral,5,3.2821353531634143,0.3695316950283704,21,0.8678915728902773,0.1392063755047679,31,0.0001358477046846,0.5188577586206896,0.1092075952037657,0.0640957913201437,0.1575071839080459,COMPLETE,0.1092075952037657,0.1575071839080459,0.5188577586206896,0.0640957913201437,1
1,0.0638883680598945,2026-03-03 17:50:21.086257,2026-03-03 18:08:35.818957,0 days 00:18:14.732700,64,2,0.0,0.0049379559636439,10,sector,128,128,1.5648376419136658,0.3,0.0410382923035629,0.0003113095956122,0.4,10,30,BiLSTM,6,2,corn,15,2.068852545896374,0.7227328293819941,15,0.694306794322898,0.2909231233791342,31,2.106648601704219e-06,0.5145474137931034,0.1112336046090658,0.0638883680598945,0.1855244252873563,COMPLETE,0.1112336046090658,0.1855244252873563,0.5145474137931034,0.0638883680598945,1
47,0.0638280773768493,2026-03-04 19:44:35.011566,2026-03-04 19:57:48.323764,0 days 00:13:13.312198,64,2,0.0,0.0054564045164314,15,sector_unified_emotion,64,32,0.9588287903720788,0.0,0.0126899387533506,0.0035698564638527,0.8,7,50,BiGRU,6,1,corn,20,2.758736482181676,0.9354463491700884,15,0.7406443745670325,0.2330925085337489,21,6.181870454358825e-05,0.5174209770114943,0.1213638444999193,0.0638280773768493,0.1885775862068965,COMPLETE,0.1213638444999193,0.1885775862068965,0.5174209770114943,0.0638280773768493,1
12,0.063285811161056,2026-03-04 02:34:29.042698,2026-03-04 03:44:33.771742,0 days 01:10:04.729044,32,6,0.0,0.0048659363815484,10,sector_unified_emotion,128,32,0.843267506990425,0.2,0.0681982842352361,0.0077997785155446,0.8,5,50,BiGRU,6,1,coral,5,2.6099312978104967,0.2169393346324327,21,0.8702592850494707,0.2120345818222281,31,1.3457164103133516e-05,0.5174209770114943,0.1148425715934896,0.063285811161056,0.1702586206896551,COMPLETE,0.1148425715934896,0.1702586206896551,0.5174209770114943,0.063285811161056,1
5,0.0632147888869732,2026-03-03 20:25:30.596098,2026-03-03 21:02:10.765903,0 days 00:36:40.169805,16,6,0.3,0.0043656982138162,10,sector_unified_emotion,64,64,1.2839284931702974,0.4,0.049348026259639,0.0061707650586223,0.4,10,50,BiGRU,6,2,coral,10,2.614708378407952,0.2154154028119276,9,0.8931127130779293,0.2794126113090392,31,1.8500328373782612e-05,0.5154454022988506,0.1242461925418953,0.0632147888869732,0.1776221264367816,COMPLETE,0.1242461925418953,0.1776221264367816,0.5154454022988506,0.0632147888869732,1
94,0.0624401535994545,2026-03-05 16:47:04.217996,2026-03-05 17:12:54.979812,0 days 00:25:50.761816,32,4,0.2,0.0096756636393958,15,sector_emotion,128,32,0.5471973692730318,0.1,0.0231302540495772,3.6190831963025806e-05,0.8,5,20,BiGRU,6,1,corn,20,3.0141091375175018,1.018385983674194,15,0.7901682922895777,0.1664985068596155,21,0.0004396001915688,0.5217313218390804,0.1166434613001561,0.0624401535994545,0.1817528735632184,COMPLETE,0.1166434613001561,0.1817528735632184,0.5217313218390804,0.0624401535994545,1
95,0.0622253362595668,2026-03-05 17:12:54.980781,2026-03-05 17:48:36.535794,0 days 00:35:41.555013,32,4,0.1,0.0083503261597855,15,sector_emotion,64,32,0.7658206678334192,0.0,0.0509593281086013,0.0049216268427557,0.8,7,50,BiGRU,6,1,coral,15,2.6154936367333836,0.444074711830275,15,0.8525152768114657,0.2228409789866862,31,5.506586581734982e-06,0.5161637931034483,0.1171179854664583,0.0622253362595668,0.1711566091954023,COMPLETE,0.1171179854664583,0.1711566091954023,0.5161637931034483,0.0622253362595668,1
