number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc,params_horizon_steps
12,0.0652838120587866,2026-03-03 23:29:28.368358,2026-03-03 23:54:50.594218,0 days 00:25:22.225860,16,4,0.8,0.0033082295921246,20,all_nlp,256,64,1.1676987471808444,0.2,0.0565110540355434,0.0030233325435908,0.4,10,20,GRU,6,1,coral,5,2.9523369479535653,0.660508913871868,9,0.6311276996129422,0.2746663615376432,31,2.0688917077068057e-06,0.5167025862068966,0.1221377915233757,0.0652838120587866,0.1736709770114942,COMPLETE,0.1221377915233757,0.1736709770114942,0.5167025862068966,0.0652838120587866,1
51,0.0648148237223472,2026-03-04 18:25:59.863410,2026-03-04 18:50:01.690306,0 days 00:24:01.826896,16,2,0.4,0.0020929855877334,20,unified_emotion,256,128,1.3617725935669531,0.1,0.0825672932547794,0.0036538559979767,0.8,5,20,BiGRU,6,1,coral,15,2.839525279032598,0.5141927979858345,15,0.8886388334916745,0.3686597451598966,31,0.0001500164947642,0.5167025862068966,0.1094710295253861,0.0648148237223472,0.1526580459770115,COMPLETE,0.1094710295253861,0.1526580459770115,0.5167025862068966,0.0648148237223472,1
59,0.0647892442535902,2026-03-04 22:50:23.409380,2026-03-04 23:10:54.418197,0 days 00:20:31.008817,32,2,0.4,0.0033142929590983,20,all_nlp,256,64,0.627795007460511,0.1,0.0416273265948948,0.0027554909779624,0.4,10,50,GRU,6,1,coral,5,1.952090054146035,1.1276972104581238,15,0.7770199408246947,0.2180004118675595,31,1.3890909115853882e-06,0.5177801724137931,0.1220669916962692,0.0647892442535902,0.1760057471264367,COMPLETE,0.1220669916962692,0.1760057471264367,0.5177801724137931,0.0647892442535902,1
20,0.0646800609824344,2026-03-04 03:03:17.972601,2026-03-04 03:52:36.008645,0 days 00:49:18.036044,16,4,0.4,0.0023190773756612,20,all_nlp,256,128,1.4097087964109205,0.0,0.0867186527353155,9.92034464822354e-06,0.8,10,20,GRU,6,1,coral,5,1.5037612481069067,0.6419512064963113,21,0.6094485751000467,0.256487153526897,31,2.026293712235012e-05,0.5150862068965517,0.0924675039579446,0.0646800609824344,0.1366738505747126,COMPLETE,0.0924675039579446,0.1366738505747126,0.5150862068965517,0.0646800609824344,1
0,0.0645089358872522,2026-03-03 17:51:37.722412,2026-03-03 18:23:21.043763,0 days 00:31:43.321351,64,4,0.1,0.004401524937396,20,emotion,64,128,1.400042750373098,0.3,0.0969584627764558,0.0013826232179369,0.4,7,20,GRU,6,1,corn,15,2.2379422752781757,0.3220382348447788,15,0.6935133228268233,0.2987566853061946,31,6.290644294586138e-07,0.5183189655172413,0.1207168898716256,0.0645089358872522,0.170617816091954,COMPLETE,0.1207168898716256,0.170617816091954,0.5183189655172413,0.0645089358872522,1
32,0.0644857279924539,2026-03-04 09:32:58.570529,2026-03-04 09:55:50.337654,0 days 00:22:51.767125,64,2,0.3,0.004202016533868,10,sentiment,256,64,1.2742851245157103,0.1,0.0593226195274292,0.0009930378166471,0.8,5,50,BiGRU,6,1,coral,10,2.960646737752674,1.155303625615247,15,0.7923025132838128,0.2412871070351208,41,3.670303126950104e-06,0.5206537356321839,0.1171718313122403,0.0644857279924539,0.1720545977011494,COMPLETE,0.1171718313122403,0.1720545977011494,0.5206537356321839,0.0644857279924539,1
75,0.0643512960010126,2026-03-05 06:46:47.896238,2026-03-05 07:12:21.880545,0 days 00:25:33.984307,16,2,0.5,0.0021231463663483,10,finbert,256,32,1.168222832804997,0.1,0.065339885704135,0.0016801122094098,0.8,5,30,BiGRU,6,1,coral,5,2.3605524263554996,0.8287858650957479,15,0.8625946448674224,0.2362787357409083,41,2.4451887423826928e-05,0.5179597701149425,0.1173856477009378,0.0643512960010126,0.1646910919540229,COMPLETE,0.1173856477009378,0.1646910919540229,0.5179597701149425,0.0643512960010126,1
70,0.0640153113578147,2026-03-05 04:41:38.567574,2026-03-05 05:19:44.947048,0 days 00:38:06.379474,16,4,0.0,0.004655439227246,20,all_nlp,256,128,1.3065231560069817,0.2,0.0867444901325272,1.7570088969828503e-05,0.8,7,20,GRU,6,2,coral,10,2.9631936556184595,0.4818276483209793,15,0.6366653228275093,0.2752007074654033,31,1.5509813216259308e-06,0.5255028735632183,0.1220683384825476,0.0640153113578147,0.1715158045977011,COMPLETE,0.1220683384825476,0.1715158045977011,0.5255028735632183,0.0640153113578147,1
3,0.0634074697463506,2026-03-03 19:12:22.677103,2026-03-03 19:38:36.612228,0 days 00:26:13.935125,64,4,0.7000000000000001,0.0008413996499504,20,finbert,256,64,1.3198601276931468,0.4,0.06519612595026,0.0001662659225403,0.4,10,20,BiGRU,6,1,coral,5,3.2463854713176983,0.3616287140946138,9,0.6015184751538656,0.2990505307324168,41,1.3140210226207374e-05,0.5129310344827587,0.1112130745056465,0.0634074697463506,0.1589439655172413,COMPLETE,0.1112130745056465,0.1589439655172413,0.5129310344827587,0.0634074697463506,1
52,0.0629473101441911,2026-03-04 18:50:01.691145,2026-03-04 19:14:56.687051,0 days 00:24:54.995906,32,2,0.4,0.0002755310290365,20,all_nlp,256,128,1.130442410399755,0.1,0.0568101701142335,0.000145538913262,0.8,5,20,GRU,6,1,coral,15,2.0691295573517463,0.4947331836324017,15,0.829352746701565,0.2985928469579003,41,5.2175168745251185e-05,0.5249640804597702,0.1131811831032003,0.0629473101441911,0.1661278735632184,COMPLETE,0.1131811831032003,0.1661278735632184,0.5249640804597702,0.0629473101441911,1
