number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
32,0.30810087470574476,2026-03-01 14:41:31.000060,2026-03-01 14:49:35.874756,0 days 00:08:04.874696,16,0.4,0.00864351564720268,20,sector_sentiment,256,32,1,1.1944384567428616,0.30000000000000004,0.0032604816199067305,0.8,5,30,LSTM,1,15,9.587019305169595e-07,0.6206896551724138,0.5679657118017568,0.30810087470574476,0.6724583208513175,0.6494035855594162,COMPLETE,0.5679657118017568,0.30810087470574476,0.6724583208513175,0.6494035855594162,0.6206896551724138
53,0.30794520086315785,2026-03-01 17:26:37.505123,2026-03-01 17:33:11.229517,0 days 00:06:33.724394,16,0.2,0.0008991621783095807,15,sector_sentiment,128,128,1,1.4769180700883577,0.1,0.0010662728493698722,0.8,10,20,GRU,1,15,2.051750141886849e-05,0.6250684181718665,0.5429864989182663,0.30794520086315785,0.7031503823837768,0.6071185748543739,COMPLETE,0.5429864989182663,0.30794520086315785,0.7031503823837768,0.6071185748543739,0.6250684181718665
67,0.3075161302493817,2026-03-01 19:24:56.947600,2026-03-01 19:34:18.633546,0 days 00:09:21.685946,16,0.8,0.006316749387333061,20,sector_sentiment,256,32,1,1.4756790333394434,0.30000000000000004,0.004177517183117491,0.8,5,20,LSTM,2,20,1.405924435095295e-06,0.624521072796935,0.5349387093636101,0.3075161302493817,0.7058872439718635,0.5837132736501279,COMPLETE,0.5349387093636101,0.3075161302493817,0.7058872439718635,0.5837132736501279,0.624521072796935
54,0.30731753384995897,2026-03-01 17:33:11.230163,2026-03-01 17:41:03.475664,0 days 00:07:52.245501,16,0.2,0.00479509592209501,10,sector_emotion,256,32,1,1.9007926539319828,0.4,0.0014303626933348044,0.8,5,20,BiLSTM,2,20,7.04370738833586e-05,0.6198686371100165,0.5450810972180367,0.30731753384995897,0.6969504764024458,0.607496035458169,COMPLETE,0.5450810972180367,0.30731753384995897,0.6969504764024458,0.607496035458169,0.6198686371100165
94,0.30716002002161275,2026-03-01 23:32:16.846242,2026-03-01 23:43:59.403637,0 days 00:11:42.557395,16,0.30000000000000004,0.0051642413223593015,20,sector_sentiment,256,64,1,1.2793925368453922,0.1,0.009072955449569368,0.8,5,50,LSTM,2,20,1.2357679473594687e-06,0.6204159824849481,0.5320136864626404,0.30716002002161275,0.7107143275006033,0.5748918122677529,COMPLETE,0.5320136864626404,0.30716002002161275,0.7107143275006033,0.5748918122677529,0.6204159824849481
59,0.3070329007274774,2026-03-01 18:09:30.367639,2026-03-01 18:16:35.031132,0 days 00:07:04.663493,16,0.30000000000000004,0.002494047492499048,15,sector_sentiment,256,64,1,1.9478967710032984,0.1,0.0007432658128200563,0.8,10,20,LSTM,1,15,1.5900722494557237e-05,0.6239737274220033,0.5546642215870776,0.3070329007274774,0.6899026075342963,0.626932648099166,COMPLETE,0.5546642215870776,0.3070329007274774,0.6899026075342963,0.626932648099166,0.6239737274220033
88,0.30681454859248036,2026-03-01 22:31:58.352127,2026-03-01 22:44:59.170201,0 days 00:13:00.818074,16,0.2,0.006021975919196802,20,sector_sentiment,256,32,1,1.031256664992223,0.4,0.002705060048254628,0.8,7,50,BiLSTM,2,20,0.00019394181696396557,0.6275314723590586,0.5439748879989017,0.30681454859248036,0.6864405614228581,0.5987598749163052,COMPLETE,0.5439748879989017,0.30681454859248036,0.6864405614228581,0.5987598749163052,0.6275314723590586
62,0.30669940908605203,2026-03-01 18:29:15.171202,2026-03-01 18:52:31.539235,0 days 00:23:16.368033,16,0.7000000000000001,5.3599709732682875e-05,20,sector_sentiment,256,64,1,1.6868066551382799,0.4,0.000627611516568833,0.4,10,50,BiGRU,1,15,0.00018670892763155713,0.6223316912972087,0.5325238887847261,0.30669940908605203,0.7030661589669517,0.593828180042712,COMPLETE,0.5325238887847261,0.30669940908605203,0.7030661589669517,0.593828180042712,0.6223316912972087
80,0.3056036094867752,2026-03-01 21:15:20.921159,2026-03-01 21:24:22.865361,0 days 00:09:01.944202,16,0.30000000000000004,0.008322796991523027,15,sector_sentiment,256,64,1,0.9964349045988129,0.30000000000000004,0.007328990384185395,0.8,10,20,LSTM,2,20,5.232877448861436e-06,0.6237000547345375,0.5747502961686336,0.3056036094867752,0.6688644326681803,0.6475108631806482,COMPLETE,0.5747502961686336,0.3056036094867752,0.6688644326681803,0.6475108631806482,0.6237000547345375
51,0.3055826074646914,2026-03-01 17:08:23.881155,2026-03-01 17:19:32.047702,0 days 00:11:08.166547,16,0.2,0.0029549071843396803,20,sector_sentiment,256,32,1,1.5975321304010064,0.4,0.0018866457432948143,0.4,7,20,BiLSTM,2,20,4.464617056573065e-06,0.6220580186097429,0.5555214970701841,0.3055826074646914,0.6758580195229714,0.6250108740525644,COMPLETE,0.5555214970701841,0.3055826074646914,0.6758580195229714,0.6250108740525644,0.6220580186097429
