number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc
38,0.08604491142445134,2026-03-04 15:59:52.917981,2026-03-04 16:24:32.874172,0 days 00:24:39.956191,32,4,0.5,0.008224085592151053,15,sector_emotion,128,32,0.3918126358974782,0.2,0.026260592360449052,0.0031186845203326936,0.4,7,20,LSTM,6,1,corn,15,3.0681521546647446,0.6772042305552481,15,0.8960970886295369,0.2323107380406878,21,4.965683313901017e-05,0.5256824712643678,0.11971277583267845,0.08604491142445134,0.18732040229885058,COMPLETE,0.11971277583267845,0.18732040229885058,0.5256824712643678,0.08604491142445134
97,0.0836036373974233,2026-03-05 18:14:04.493022,2026-03-05 18:27:15.146184,0 days 00:13:10.653162,64,2,0.4,0.0029992113888576465,10,sector_emotion,64,32,0.1699355302376045,0.30000000000000004,0.00871396647558617,0.004219539525510667,0.4,5,20,BiGRU,6,1,coral,10,3.067780386248682,1.0197648379667166,15,0.8405452665020661,0.15257981127684056,21,9.111958769066048e-05,0.5208333333333334,0.10774851799474408,0.0836036373974233,0.17097701149425287,COMPLETE,0.10774851799474408,0.17097701149425287,0.5208333333333334,0.0836036373974233
50,0.0832772482282568,2026-03-04 21:01:39.839254,2026-03-04 21:26:30.291643,0 days 00:24:50.452389,32,4,0.7000000000000001,0.006468606681921408,15,sector_emotion,128,32,0.40389734395531424,0.4,0.022104408877270207,0.0012950475336428763,0.4,7,20,BiGRU,6,1,corn,15,3.3855712454496727,0.9654047498013609,15,0.8744597608523035,0.25843462907219167,21,7.527028449475237e-05,0.5206537356321839,0.11577226347244361,0.0832772482282568,0.18875718390804597,COMPLETE,0.11577226347244361,0.18875718390804597,0.5206537356321839,0.0832772482282568
67,0.08295914318514312,2026-03-05 04:31:19.252454,2026-03-05 05:12:20.741978,0 days 00:41:01.489524,32,6,0.0,0.0015723277958546525,10,sector_emotion,256,32,0.8626257164728631,0.30000000000000004,0.052490944936488516,0.002074655405305912,0.8,5,50,BiGRU,6,1,corn,10,2.2511784242788777,0.2792131844047269,9,0.8317725362587739,0.16481899258051547,41,7.271976763439121e-05,0.5193965517241379,0.12705061082373428,0.08295914318514312,0.18283045977011494,COMPLETE,0.12705061082373428,0.18283045977011494,0.5193965517241379,0.08295914318514312
40,0.08295580660369094,2026-03-04 16:35:29.139557,2026-03-04 16:59:25.860348,0 days 00:23:56.720791,32,4,0.0,0.0030890080669014443,15,sector_emotion,128,128,0.9643553112825898,0.4,0.06536315555965336,0.0006583653298125071,0.8,5,50,BiGRU,6,2,coral,5,2.7825471138000073,0.3103979421457786,9,0.7489032568483629,0.1685497734032644,31,6.830293354182854e-05,0.5298132183908046,0.11843878431153716,0.08295580660369094,0.1752873563218391,COMPLETE,0.11843878431153716,0.1752873563218391,0.5298132183908046,0.08295580660369094
61,0.080682776480832,2026-03-05 01:25:27.926796,2026-03-05 01:39:58.821059,0 days 00:14:30.894263,32,2,0.2,0.008493950012262505,15,sector_emotion,128,32,0.9912721452647788,0.1,0.006779864198859439,0.003102704746675756,0.8,7,50,BiGRU,6,1,corn,5,3.0724901027080773,0.5322118112133346,15,0.889555585182823,0.19238693573797291,21,3.5550656791713744e-07,0.5177801724137931,0.12300113554212773,0.080682776480832,0.1853448275862069,COMPLETE,0.12300113554212773,0.1853448275862069,0.5177801724137931,0.080682776480832
90,0.07981720091247063,2026-03-05 15:10:25.771251,2026-03-05 15:29:35.364595,0 days 00:19:09.593344,64,2,0.8,0.0006907696675754567,15,sector_unified_emotion,128,128,1.0419245249982918,0.1,0.024995611238550416,0.004741174130143728,0.8,10,30,BiGRU,6,1,coral,20,2.39875301185449,0.7431501631036213,21,0.7875459672898737,0.24992272674498214,21,0.00022317208670545767,0.5244252873563219,0.11898124260950382,0.07981720091247063,0.18426724137931033,COMPLETE,0.11898124260950382,0.18426724137931033,0.5244252873563219,0.07981720091247063
10,0.07925559426379558,2026-03-04 00:28:02.582055,2026-03-04 01:59:31.080660,0 days 01:31:28.498605,32,6,0.0,0.005991403340803142,10,sector_emotion,128,64,0.49562046912578733,0.2,0.06089363047341696,0.006580396712172195,0.8,5,20,BiGRU,6,1,coral,15,2.8858272907708393,0.24891982836932153,21,0.7964074183004031,0.24259889807873602,41,1.072992798914727e-06,0.5235272988505747,0.11979143269377597,0.07925559426379558,0.17223419540229884,COMPLETE,0.11979143269377597,0.17223419540229884,0.5235272988505747,0.07925559426379558
20,0.07900187147102253,2026-03-04 08:31:03.909727,2026-03-04 09:00:23.937860,0 days 00:29:20.028133,64,2,0.0,0.0079144465055323,10,sector_sentiment,128,32,1.317775231204496,0.30000000000000004,0.02935078093201583,0.0012127382854341178,0.8,7,20,BiGRU,6,1,corn,5,2.491421581712704,0.40067769562688627,21,0.8644005303152558,0.17349894600005586,41,0.0007465576917023067,0.5176005747126436,0.11600408818486344,0.07900187147102253,0.17959770114942528,COMPLETE,0.11600408818486344,0.17959770114942528,0.5176005747126436,0.07900187147102253
79,0.07769531790869053,2026-03-05 10:43:29.574906,2026-03-05 10:57:53.475566,0 days 00:14:23.900660,64,2,0.7000000000000001,0.005011485843979056,15,sector_finbert,128,32,0.5444831737515758,0.2,0.010437828302001706,0.001404085863956683,0.8,10,30,BiGRU,6,1,coral,15,1.9755351943577935,0.8033687422692553,15,0.7544886269119316,0.3144256448704393,21,0.0006898695099898867,0.524066091954023,0.11409938056395313,0.07769531790869053,0.1713362068965517,COMPLETE,0.11409938056395313,0.1713362068965517,0.524066091954023,0.07769531790869053
78,0.0774630259983184,2026-03-05 10:29:39.420194,2026-03-05 10:43:29.574056,0 days 00:13:50.153862,64,2,0.4,0.00745988427036891,15,sector_unified_emotion,128,32,0.6730403460385008,0.1,0.03230515474281743,0.005214273105407653,0.8,10,30,BiGRU,6,1,corn,15,2.1029248238489684,0.5785048663047762,15,0.8708556414391407,0.2036102492279478,21,0.00018353709901470917,0.521551724137931,0.11921543136546361,0.0774630259983184,0.1840876436781609,COMPLETE,0.11921543136546361,0.1840876436781609,0.521551724137931,0.0774630259983184
3,0.07680580209826435,2026-03-03 18:27:59.112419,2026-03-03 19:41:10.233317,0 days 01:13:11.120898,16,6,0.4,9.197051616629647e-05,10,sector,64,64,1.252215213353221,0.4,0.03253996981592677,0.0038802797007866886,0.8,5,50,BiGRU,6,2,coral,5,2.6587544227701394,0.3014715428660321,21,0.7955883778507802,0.307568559307808,31,0.0003996430167694251,0.5224497126436781,0.11958022963255444,0.07680580209826435,0.17510775862068967,COMPLETE,0.11958022963255444,0.17510775862068967,0.5224497126436781,0.07680580209826435
64,0.076740507946068,2026-03-05 03:01:57.924189,2026-03-05 03:27:53.177637,0 days 00:25:55.253448,32,4,0.5,0.0077133135892929455,15,sector_emotion,128,32,0.9024868583320445,0.2,0.053077984201132654,0.009030286827148359,0.4,7,50,LSTM,6,1,corn,15,2.652991429991138,0.7251524224642547,15,0.8200902884071369,0.25140830007733495,21,0.00036889004026520163,0.5237068965517241,0.12815275519729308,0.076740507946068,0.19432471264367815,COMPLETE,0.12815275519729308,0.19432471264367815,0.5237068965517241,0.076740507946068
54,0.07639442347032552,2026-03-04 23:04:57.894921,2026-03-04 23:18:02.443918,0 days 00:13:04.548997,64,2,0.6000000000000001,0.0015404822324974249,15,sector_unified_emotion,128,32,0.15334274645986012,0.4,0.032472154332134684,0.000445279160552827,0.4,7,20,BiGRU,6,1,coral,15,3.0739112227309127,0.6922592174699187,15,0.8839431392946695,0.19490357244799095,21,0.0009531550386125772,0.5242456896551724,0.11316238419737017,0.07639442347032552,0.16451149425287356,COMPLETE,0.11316238419737017,0.16451149425287356,0.5242456896551724,0.07639442347032552
81,0.07609110060453296,2026-03-05 11:12:37.038854,2026-03-05 11:22:55.666706,0 days 00:10:18.627852,64,2,0.4,0.004403257078620645,15,sector_unified_emotion,128,32,0.3093209117416519,0.2,0.006014736380201772,0.0007992219542052335,0.4,10,50,BiGRU,6,1,coral,15,2.8149810204569006,0.9922533754732852,9,0.7637925996584402,0.2023477135035368,21,0.00027026161797411496,0.5226293103448276,0.10990392763071515,0.07609110060453296,0.17582614942528735,COMPLETE,0.10990392763071515,0.17582614942528735,0.5226293103448276,0.07609110060453296
