company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric,isotonic_used
LMT,Industrial Goods,GRU,classification,5,,,,0.35685601718534804,0.691358024691358,0.5384615384615384,0.9655172413793104,0.609375,0.6666666666666666,0.42817441928883765,0.7586206896551724,0.6111111111111112,1.0,1189,398,42,64,23,0.05,0.42817441928883765,True
MA,Financial,GRU,classification,5,,,,0.0821440096816907,0.14285714285714285,0.75,0.07894736842105263,0.4375,0.7380952380952381,0.4811252243246881,0.717948717948718,0.6666666666666666,0.7777777777777778,1189,398,42,64,12,0.195,0.4811252243246881,True
MCD,Services,GRU,classification,5,,,,0.1441007540660505,0.125,1.0,0.06666666666666667,0.34375,0.7619047619047619,0.5150844037233139,0.8275862068965517,0.7272727272727273,0.96,1189,398,42,64,12,0.20499999999999996,0.5150844037233139,True
MDT,Healthcare,GRU,classification,5,,,,0.3111001698155171,0.6031746031746031,0.8260869565217391,0.475,0.609375,0.6904761904761905,0.39344473768231686,0.38095238095238093,1.0,0.23529411764705882,1189,398,42,64,20,0.4549999999999999,0.39344473768231686,True
MMM,Industrial Goods,GRU,classification,5,,,,0.23502786055720126,0.20512820512820512,1.0,0.11428571428571428,0.515625,0.7142857142857143,0.5103103630798288,0.7391304347826086,0.6071428571428571,0.9444444444444444,1189,398,42,64,11,0.075,0.5103103630798288,True
MO,Consumer Goods,GRU,classification,5,,,,0.1476408447523867,0.2222222222222222,0.8333333333333334,0.1282051282051282,0.453125,0.6428571428571429,0.4264014327112209,0.4827586206896552,1.0,0.3181818181818182,1189,398,42,64,13,0.6699999999999999,0.4264014327112209,True
MRK,Healthcare,GRU,classification,5,,,,0.3494307674953197,0.5217391304347826,0.8,0.3870967741935484,0.65625,0.7380952380952381,0.435285750066007,0.42105263157894735,1.0,0.26666666666666666,1189,398,42,64,11,0.37999999999999995,0.435285750066007,True
MSFT,Technology,GRU,classification,5,,,,0.24502316990850048,0.4230769230769231,0.8461538461538461,0.28205128205128205,0.53125,0.6904761904761905,0.39284657334702455,0.7450980392156863,0.6551724137931034,0.8636363636363636,1189,398,42,64,11,0.33499999999999996,0.39284657334702455,True
NEE,Utilities,GRU,classification,5,,,,0.14858083138673644,0.723404255319149,0.5862068965517241,0.9444444444444444,0.59375,0.6904761904761905,0.432131230681727,0.7346938775510204,0.6206896551724138,0.9,1189,398,42,64,12,0.15499999999999997,0.432131230681727,True
NGG,Utilities,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.59375,0.8095238095238095,0.480768513011379,0.875,0.8484848484848485,0.9032258064516129,1189,398,42,64,12,0.33499999999999996,0.480768513011379,True
NVS,Healthcare,GRU,classification,5,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,0.6666666666666666,0.43261200122172483,0.72,0.5806451612903226,0.9473684210526315,1189,398,42,64,11,0.20499999999999996,0.43261200122172483,True
ORCL,Technology,GRU,classification,5,,,,0.34240528516707336,0.3333333333333333,1.0,0.2,0.625,0.7142857142857143,0.49204193231664184,0.5384615384615384,1.0,0.3684210526315789,1189,398,42,64,12,0.5049999999999999,0.49204193231664184,True
PCG,Utilities,GRU,classification,5,,,,0.2451427338711134,0.64,0.5106382978723404,0.8571428571428571,0.578125,0.8095238095238095,0.6,0.8709677419354839,0.7714285714285715,1.0,1189,398,42,64,13,0.05,0.6,True
PCLN,Services,GRU,classification,5,,,,-0.019772733298509516,0.47619047619047616,0.5357142857142857,0.42857142857142855,0.484375,0.8571428571428571,0.7479575920067657,0.8695652173913043,0.7692307692307693,1.0,1189,398,42,64,11,0.05,0.7479575920067657,True
PEP,Consumer Goods,GRU,classification,5,,,,0.12173183529737108,0.631578947368421,0.5581395348837209,0.7272727272727273,0.5625,0.6428571428571429,0.2897243478434306,0.7058823529411765,0.6206896551724138,0.8181818181818182,1189,398,42,64,11,0.30999999999999994,0.2897243478434306,True
PFE,Healthcare,GRU,classification,5,,,,0.14977900439610384,0.5333333333333333,0.45714285714285713,0.64,0.5625,0.6190476190476191,0.24771684715343112,0.6,0.5454545454545454,0.6666666666666666,1189,398,42,64,11,0.4049999999999999,0.24771684715343112,True
PG,Consumer Goods,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.5,0.5714285714285714,0.22056438662814232,0.3076923076923077,0.8,0.19047619047619047,1189,398,42,64,12,0.4599999999999999,0.22056438662814232,True
PICO,Conglomerates,GRU,classification,5,,,,0.03126526997403612,0.5230769230769231,0.53125,0.5151515151515151,0.515625,0.7380952380952381,0.4005963724010764,0.5925925925925926,0.5714285714285714,0.6153846153846154,1189,398,42,64,12,0.235,0.4005963724010764,True
PM,Consumer Goods,GRU,classification,5,,,,0.370486049980125,0.5555555555555556,0.8823529411764706,0.40540540540540543,0.625,0.8095238095238095,0.6459751934999393,0.7777777777777778,0.6666666666666666,0.9333333333333333,1189,398,42,64,15,0.145,0.6459751934999393,True
PPL,Utilities,GRU,classification,5,,,,0.15422731972837422,0.27906976744186046,0.75,0.17142857142857143,0.515625,0.9285714285714286,0.8478227519967949,0.9433962264150944,0.9259259259259259,0.9615384615384616,1189,398,42,64,16,0.33499999999999996,0.8478227519967949,True
PTR,Basic Matierials,GRU,classification,5,,,,-0.3752410702546575,0.4444444444444444,0.32142857142857145,0.72,0.296875,0.7619047619047619,0.3841642228739003,0.5454545454545454,0.5454545454545454,0.5454545454545454,1169,398,42,64,11,0.24,0.3841642228739003,True
RDS-B,Basic Matierials,GRU,classification,5,,,,-0.037986858819879316,0.45714285714285713,0.3333333333333333,0.7272727272727273,0.40625,0.5238095238095238,0.21796176586341723,0.5652173913043478,0.41935483870967744,0.8666666666666667,1189,398,42,64,11,0.185,0.21796176586341723,True
REX,Conglomerates,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.453125,0.6666666666666666,0.3440511766019877,0.6818181818181818,0.75,0.625,1169,398,42,64,11,0.42999999999999994,0.3440511766019877,True
SLB,Basic Matierials,GRU,classification,5,,,,0.10688429370388697,0.37209302325581395,0.5333333333333333,0.2857142857142857,0.578125,0.7619047619047619,0.5204164998665333,0.5454545454545454,1.0,0.375,1189,398,42,64,21,0.5049999999999999,0.5204164998665333,True
SNP,Basic Matierials,GRU,classification,5,,,,0.0,0.5777777777777777,0.40625,1.0,0.40625,0.4523809523809524,0.13525044520011484,0.6101694915254238,0.43902439024390244,1.0,1169,398,42,64,11,0.05,0.13525044520011484,True
SNY,Healthcare,GRU,classification,5,,,,0.16282240225645903,0.6301369863013698,0.5609756097560976,0.71875,0.578125,0.8095238095238095,0.6264144833056663,0.7777777777777778,0.7,0.875,1189,398,42,64,11,0.09999999999999999,0.6264144833056663,True
SO,Utilities,GRU,classification,5,,,,0.30261376633440124,0.3404255319148936,1.0,0.20512820512820512,0.515625,0.9047619047619048,0.7980769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,1189,398,42,64,12,0.22499999999999998,0.7980769230769231,True
SPLP,Conglomerates,GRU,classification,5,,,,-0.016169041669088866,0.4074074074074074,0.36666666666666664,0.4583333333333333,0.5,0.6666666666666666,0.29600412492291917,0.7741935483870968,0.6486486486486487,0.96,1189,398,42,64,11,0.33499999999999996,0.29600412492291917,True
SRE,Utilities,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.53125,0.7380952380952381,0.5477225575051662,0.6206896551724138,1.0,0.45,1189,398,42,64,13,0.4599999999999999,0.5477225575051662,True
T,Technology,GRU,classification,5,,,,0.10762440050012628,0.05263157894736842,1.0,0.02702702702702703,0.4375,0.7142857142857143,0.39686831106550413,0.5384615384615384,0.7777777777777778,0.4117647058823529,1189,398,42,64,11,0.5049999999999999,0.39686831106550413,True
TM,Consumer Goods,GRU,classification,5,,,,0.009475800096308811,0.625,0.5813953488372093,0.6756756756756757,0.53125,0.8095238095238095,0.6497881580558778,0.7894736842105263,0.6818181818181818,0.9375,1189,398,42,64,11,0.16999999999999998,0.6497881580558778,True
TOT,Basic Matierials,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.625,0.8333333333333334,0.6822422923379533,0.8,0.9333333333333333,0.7,1189,398,42,64,11,0.33499999999999996,0.6822422923379533,True
