number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,state
14,-0.02671272858360312,2026-03-03 01:55:50.938019,2026-03-03 02:01:18.343790,0 days 00:05:27.405771,64,0.1,0.006777410589599724,10,sector_sentiment,64,32,5,0.5721393027262494,0.4,0.0001601268165315137,0.8,7,20,BiLSTM,1,5,1.0908743676669421e-05,COMPLETE
70,-0.02677647859486992,2026-03-03 09:57:33.341562,2026-03-03 10:06:41.688331,0 days 00:09:08.346769,32,0.8,0.006303241319472391,20,sector_all_nlp,64,128,5,1.713955824798971,0.1,4.193089262839585e-06,0.8,10,50,GRU,2,20,0.00022530008185680993,COMPLETE
79,-0.026793933696182583,2026-03-03 11:10:12.203851,2026-03-03 11:20:43.813467,0 days 00:10:31.609616,16,0.7000000000000001,0.007162419402667919,10,sector_unified_emotion,256,128,5,0.9270386918028445,0.1,1.3452084767632395e-06,0.8,10,50,BiGRU,2,20,0.00019928554239749443,COMPLETE
90,-0.026818995420942432,2026-03-03 12:37:43.612540,2026-03-03 12:44:08.893252,0 days 00:06:25.280712,64,0.8,0.009808288415814551,15,sector_unified_emotion,256,128,5,0.511260093575829,0.0,0.00010837864168104171,0.8,10,20,LSTM,2,15,5.623554251512894e-07,COMPLETE
2,-0.02684079072843516,2026-03-03 00:33:09.490503,2026-03-03 00:39:06.377375,0 days 00:05:56.886872,64,0.0,0.008036720768991144,15,sector_emotion,256,128,5,1.7557751213566637,0.2,1.808939009276714e-05,0.4,5,20,GRU,2,20,1.082138291061398e-05,COMPLETE
89,-0.026891815157193095,2026-03-03 12:28:33.165023,2026-03-03 12:37:43.611665,0 days 00:09:10.446642,32,0.8,0.009758252653688923,15,sector_unified_emotion,256,128,5,0.4683896799818369,0.1,1.4985714844481118e-05,0.4,10,20,BiLSTM,2,20,0.0009650646005179742,COMPLETE
98,-0.026904633361104168,2026-03-03 13:37:36.688882,2026-03-03 13:46:43.549773,0 days 00:09:06.860891,32,0.8,0.006371685888887961,20,sector_sentiment,256,128,5,0.4463145954040444,0.1,5.957454273558439e-06,0.8,10,30,LSTM,2,20,4.143430886757105e-06,COMPLETE
64,-0.02695642542827693,2026-03-03 09:05:29.155055,2026-03-03 09:15:30.430460,0 days 00:10:01.275405,16,0.8,0.008336393241389281,10,sector_unified_emotion,256,128,5,0.2140746077474579,0.30000000000000004,0.00011357573002073596,0.4,10,20,BiGRU,2,20,0.0006745782583109987,COMPLETE
3,-0.026974392508142736,2026-03-03 00:39:06.378251,2026-03-03 00:47:34.357740,0 days 00:08:27.979489,32,0.6000000000000001,0.0024205527151150044,20,sector_finbert,128,128,5,1.9727358628101412,0.2,1.0165510266418738e-05,0.4,5,50,BiGRU,1,20,9.749762207436114e-06,COMPLETE
99,-0.02700974537266654,2026-03-03 13:46:43.550607,2026-03-03 13:54:31.066063,0 days 00:07:47.515456,32,0.8,0.00882029376174184,10,sector_sentiment,128,128,5,1.5580968059251612,0.1,4.685344208084523e-05,0.4,7,20,BiLSTM,2,5,3.862526572855298e-05,COMPLETE
31,-0.02701978935517298,2026-03-03 04:00:52.801576,2026-03-03 04:11:01.315622,0 days 00:10:08.514046,32,0.6000000000000001,0.00785165529693348,20,sector_all_nlp,128,128,5,1.2847313847173367,0.0,1.0617631819688402e-05,0.4,5,50,BiLSTM,2,15,1.1964467024870421e-06,COMPLETE
44,-0.027085595443687,2026-03-03 05:49:22.761138,2026-03-03 05:57:49.797190,0 days 00:08:27.036052,32,0.7000000000000001,0.009225611209491641,15,sector,128,128,5,1.4330739324292272,0.2,0.00012505988001436423,0.4,7,20,BiLSTM,2,10,1.4704759971310663e-05,COMPLETE
84,-0.0271109405355895,2026-03-03 11:48:08.073970,2026-03-03 11:57:17.573034,0 days 00:09:09.499064,32,0.5,0.008199940506478267,20,sector_unified_emotion,256,64,5,1.0094779173232906,0.1,3.411420116526589e-05,0.8,10,20,BiLSTM,2,15,1.0131978969930334e-05,COMPLETE
27,-0.027146047819075796,2026-03-03 03:26:21.243127,2026-03-03 03:33:40.962916,0 days 00:07:19.719789,32,0.6000000000000001,0.008473504593258933,10,sector_emotion,128,32,5,0.7922278857488771,0.1,0.00014845435264994357,0.8,5,20,BiLSTM,2,10,0.0003618167652830726,COMPLETE
66,-0.02715961440536384,2026-03-03 09:23:36.175973,2026-03-03 09:30:42.930441,0 days 00:07:06.754468,32,0.7000000000000001,0.009664314040190672,10,sector_all_nlp,128,128,5,0.7856314882962598,0.30000000000000004,0.00015517561351211293,0.4,7,50,BiLSTM,1,5,6.77121309073475e-05,COMPLETE
4,-0.027171943543340165,2026-03-03 00:47:34.358584,2026-03-03 00:55:24.359762,0 days 00:07:50.001178,32,0.6000000000000001,0.003390297910487007,10,sector_sentiment,256,32,5,1.3028927688192091,0.0,2.31347816122256e-05,0.8,5,50,BiGRU,2,10,2.843767489444365e-07,COMPLETE
88,-0.027320662827566122,2026-03-03 12:20:41.909284,2026-03-03 12:28:33.164168,0 days 00:07:51.254884,32,0.7000000000000001,0.009303304630306122,15,sector_finbert,256,128,5,0.23390241292785402,0.0,0.0006329362648054115,0.8,10,50,GRU,2,20,5.191883063404669e-07,COMPLETE
18,-0.02764558357460518,2026-03-03 02:17:39.215526,2026-03-03 02:23:51.133107,0 days 00:06:11.917581,64,0.8,0.008305401301490406,20,sector_all_nlp,256,128,5,1.0344600687463732,0.2,0.00019333040502578846,0.4,5,20,BiLSTM,1,15,0.0007599228745840981,COMPLETE
9,-0.027645598103482903,2026-03-03 01:27:17.673652,2026-03-03 01:34:49.051348,0 days 00:07:31.377696,32,0.0,0.008068347392672641,15,sector,256,64,5,1.5261680281176309,0.0,1.8875676307822284e-05,0.8,7,20,BiLSTM,1,15,0.00023960796124300753,COMPLETE
19,-0.02766527927037236,2026-03-03 02:23:51.133935,2026-03-03 02:30:27.114760,0 days 00:06:35.980825,32,0.6000000000000001,0.006386905259244307,10,sector_all_nlp,64,128,5,1.4313128373967534,0.4,0.00021493492890688299,0.4,7,20,BiLSTM,1,15,2.707576493897614e-06,COMPLETE
46,-0.027667764193065124,2026-03-03 06:04:20.869240,2026-03-03 06:43:13.326272,0 days 00:38:52.457032,16,0.5,0.005219912851544011,20,sector_all_nlp,64,128,5,1.512863421472875,0.1,1.7219624008717893e-05,0.4,10,50,BiGRU,2,15,3.439116941616952e-05,COMPLETE
6,-0.028375879912071328,2026-03-03 01:01:39.282190,2026-03-03 01:09:00.516672,0 days 00:07:21.234482,32,0.1,0.008670723185801038,10,sector_sentiment,256,32,5,1.6392154498904434,0.1,0.00019065345519393522,0.8,7,50,BiLSTM,2,5,2.4474057445796787e-07,COMPLETE
5,-0.03029806545373801,2026-03-03 00:55:24.360648,2026-03-03 01:01:39.281285,0 days 00:06:14.920637,32,0.2,0.0049251769381886395,10,sector_emotion,128,128,5,1.1961173807900825,0.30000000000000004,0.0024939838794891503,0.4,5,30,GRU,1,5,4.2702329684055404e-05,COMPLETE
8,-0.03136688587653732,2026-03-03 01:15:49.827221,2026-03-03 01:27:17.672720,0 days 00:11:27.845499,16,0.0,0.005031362585800877,20,sector_sentiment,128,64,5,1.289133839857049,0.30000000000000004,0.0026414496454242246,0.4,10,20,BiGRU,2,15,6.525765108342356e-05,COMPLETE
