company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained
CSCO,Technology,BiGRU,regression,1,0.00022160297192987195,0.010669550774630344,0.013866399656825124,0.11298653657320641,0.6410256410256411,0.5319148936170213,0.8064516129032258,0.5483870967741935,372,248,62,62,17
CVX,Basic Matierials,BiGRU,regression,1,0.00037443740431655396,0.016516434638330135,0.003873596914694355,0.0,0.6410256410256411,0.4716981132075472,1.0,0.4716981132075472,323,216,54,53,17
D,Utilities,BiGRU,regression,1,0.00010234037756564402,0.007807638771794758,0.037659687618590065,0.08738790806010849,0.6,0.5714285714285714,0.631578947368421,0.5492957746478874,427,285,71,71,17
DIS,Services,BiGRU,regression,1,0.00015854417935021303,0.010033584754973023,0.009853940676136208,0.2690951821386604,0.6,0.782608695652174,0.4864864864864865,0.6,365,244,61,60,17
FB,Technology,BiGRU,regression,1,0.00026949119389498564,0.012799872677350384,-0.003360823796945356,0.0,0.7580645161290323,0.6103896103896104,1.0,0.6103896103896104,463,309,77,77,16
GE,Industrial Goods,BiGRU,regression,1,0.00020718279229379406,0.010839398823212538,-0.40557705229056706,0.10320313742306722,0.05,1.0,0.02564102564102564,0.42424242424242425,401,268,67,66,26
GOOG,Technology,BiGRU,regression,1,0.000308723667667606,0.013042859538981743,-0.36218570292605,0.0,0.0,0.0,0.0,0.4605263157894737,460,308,76,76,20
HD,Services,BiGRU,regression,1,0.0003775855874783009,0.016058336663268728,-1.545820272050325,0.0,0.0,0.0,0.0,0.3673469387755102,295,197,49,49,29
INTC,Technology,BiGRU,regression,1,0.00019570656607578813,0.01061196772157097,-0.1049898589400664,-0.0026183752994615546,0.05555555555555555,0.5,0.029411764705882353,0.4925373134328358,404,270,67,67,16
JNJ,Healthcare,BiGRU,regression,1,8.267388598671838e-05,0.006887396894118566,0.013332390097925528,0.18605909041238622,0.625,0.6666666666666666,0.5882352941176471,0.5932203389830508,356,238,59,59,16
JPM,Financial,BiGRU,regression,1,0.00022018484189706162,0.011210806985202593,-0.0073861822318523895,0.09457678564819114,0.4,0.5555555555555556,0.3125,0.5522388059701493,403,269,67,67,16
