company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained
CMCSA,Services,LSTM,regression,1,0.00015027297664372568,0.009623394611749457,-0.0029683366504973385,0.0,0.625,0.45454545454545453,1.0,0.45454545454545453,265,177,44,44,17
CSCO,Technology,LSTM,regression,1,0.0003082434210813282,0.013940461747297286,-0.37168374578126606,0.0,0.0,0.0,0.0,0.5,372,248,62,62,20
CVX,Basic Matierials,LSTM,regression,1,0.00037656405233697196,0.016533172593882223,-0.001783984883454659,0.0,0.6410256410256411,0.4716981132075472,1.0,0.4716981132075472,323,216,54,53,16
D,Utilities,LSTM,regression,1,0.00010522481749316831,0.007788271262334057,0.010536347965884096,0.11446622380418633,0.693069306930693,0.5555555555555556,0.9210526315789473,0.5633802816901409,427,285,71,71,18
DIS,Services,LSTM,regression,1,0.0001606761789541907,0.010099479334366012,-0.003460903268373894,0.34357800335375865,0.6666666666666666,0.8076923076923077,0.5675675675675675,0.65,365,244,61,60,17
FB,Technology,LSTM,regression,1,0.0002761809031214727,0.013231756505987097,-0.028267731007670882,0.16086311190126154,0.12,1.0,0.06382978723404255,0.42857142857142855,463,309,77,77,16
GE,Industrial Goods,LSTM,regression,1,0.00016793493611496103,0.009327218556490506,-0.1393103156286697,0.007813453848974923,0.24489795918367346,0.6,0.15384615384615385,0.4393939393939394,401,268,67,66,22
GOOG,Technology,LSTM,regression,1,0.00024841419195474623,0.01139609760860967,-0.09608137024665542,-0.1463309044865628,0.49411764705882355,0.4772727272727273,0.5121951219512195,0.4342105263157895,460,308,76,76,19
HD,Services,LSTM,regression,1,0.0001944579560985387,0.010576138842260465,-0.31110673477594464,0.0,0.0,0.0,0.0,0.3673469387755102,295,197,49,49,22
INTC,Technology,LSTM,regression,1,0.0005308160267972866,0.019015695979989193,-1.9970702482548184,0.0,0.0,0.0,0.0,0.4925373134328358,404,270,67,67,22
JNJ,Healthcare,LSTM,regression,1,8.014407113116198e-05,0.006729778655324279,0.043524346690211546,0.20827788923547558,0.717948717948718,0.6363636363636364,0.8235294117647058,0.6271186440677966,356,238,59,59,19
JPM,Financial,LSTM,regression,1,0.0002169686523996053,0.011301227870017978,0.007328476739501433,0.0663363415035954,0.5897435897435898,0.5,0.71875,0.5223880597014925,403,269,67,67,17
