company,sector,model_type,problem_type,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained
CAT,Industrial Goods,BiLSTM,regression,0.0003066159232441225,0.013533158630432576,-0.0022682372944125007,0.0,0.0,0.0,0.0,0.5294117647058824,310,208,51,51,16
CELG,Healthcare,BiLSTM,regression,0.0006618896306171647,0.019267964546906175,0.011316520904001925,0.1335511498692213,0.6818181818181818,0.5172413793103449,1.0,0.5254237288135594,357,239,59,59,18
CMCSA,Services,BiLSTM,regression,0.00015087246402080605,0.009434166728116184,-0.00696950087085324,0.0,0.0,0.0,0.0,0.5454545454545454,265,177,44,44,16
CSCO,Technology,BiLSTM,regression,0.00022232160341061985,0.010684791270560831,0.010668488350589866,-0.06900655593423542,0.547945205479452,0.47619047619047616,0.6451612903225806,0.46774193548387094,372,248,62,62,20
CVX,Basic Matierials,BiLSTM,regression,0.00037278109603680837,0.016401028606592222,0.008279920615487102,0.0,0.6410256410256411,0.4716981132075472,1.0,0.4716981132075472,323,216,54,53,17
D,Utilities,BiLSTM,regression,0.00010499076257152971,0.007898193886928858,0.012737243563124001,0.00879365151648499,0.24489795918367346,0.5454545454545454,0.15789473684210525,0.4788732394366197,427,285,71,71,16
DIS,Services,BiLSTM,regression,0.0001581682367895898,0.009807140179144488,0.012201791265535555,0.0,0.7628865979381443,0.6166666666666667,1.0,0.6166666666666667,365,244,61,60,17
FB,Technology,BiLSTM,regression,0.0002739713291646732,0.013161170702498743,-0.020041117315801937,0.25848817508404137,0.41935483870967744,0.8666666666666667,0.2765957446808511,0.5324675324675324,463,309,77,77,18
GE,Industrial Goods,BiLSTM,regression,0.00017935411112946368,0.009533504459143919,-0.2167806990460066,-0.12065517300421218,0.6046511627906976,0.5531914893617021,0.6666666666666666,0.48484848484848486,401,268,67,66,42
GOOG,Technology,BiLSTM,regression,0.0002705085169629,0.011591423195682345,-0.19356846564587404,0.1942024666020895,0.5866666666666667,0.6470588235294118,0.5365853658536586,0.5921052631578947,460,308,76,76,25
HD,Services,BiLSTM,regression,0.00017393868744369065,0.0095366836889654,-0.17275831301008227,0.0,0.0,0.0,0.0,0.3673469387755102,295,197,49,49,21
INTC,Technology,BiLSTM,regression,0.00018247914012107095,0.010542839459762861,-0.03030574469229541,0.07540862145760696,0.673469387755102,0.515625,0.9705882352941176,0.5223880597014925,404,270,67,67,16
JNJ,Healthcare,BiLSTM,regression,8.273110848257717e-05,0.006897119002681079,0.01264947090829549,0.0,0.7311827956989247,0.576271186440678,1.0,0.576271186440678,356,238,59,59,16
JPM,Financial,BiLSTM,regression,0.00021856125692151096,0.011247009231455553,4.201789290292357e-05,0.07404106425028269,0.5230769230769231,0.5151515151515151,0.53125,0.5373134328358209,403,269,67,67,17
KO,Consumer Goods,BiLSTM,regression,9.900805370160448e-05,0.008146596525449537,-0.0816328982761243,0.02864279017973628,0.5172413793103449,0.5769230769230769,0.46875,0.5087719298245614,344,230,57,57,23
LMT,Industrial Goods,BiLSTM,regression,0.00013056152436448297,0.009432198676294837,-0.038599487009130184,0.0,0.5882352941176471,0.4166666666666667,1.0,0.4166666666666667,193,116,29,48,18
MA,Financial,BiLSTM,regression,0.00023912919299366966,0.012795103253253655,-0.005202924704112322,0.18328047158971922,0.7536231884057971,0.6046511627906976,1.0,0.6136363636363636,264,176,44,44,19
MCD,Services,BiLSTM,regression,0.0007669612460268143,0.02411922511846431,-3.6805150915930396,0.0,0.0,0.0,0.0,0.4482758620689655,351,235,58,58,60
MDT,Healthcare,BiLSTM,regression,0.00022998752632316484,0.011941022470120126,0.01849634433789582,0.0,0.696969696969697,0.5348837209302325,1.0,0.5348837209302325,173,104,26,43,24
MMM,Industrial Goods,BiLSTM,regression,0.0002511391331473807,0.010423484679785764,-0.0036855115081328993,-0.1394948101812312,0.13793103448275862,0.3333333333333333,0.08695652173913043,0.4444444444444444,225,144,36,45,16
MO,Consumer Goods,BiLSTM,regression,0.00013607590022621515,0.008288324957684168,-0.02270972084339906,0.0,0.0,0.0,0.0,0.4666666666666667,225,144,36,45,16
MRK,Healthcare,BiLSTM,regression,0.00021231379957332655,0.011554503535123295,-0.12699664052689763,0.0,0.6923076923076923,0.5294117647058824,1.0,0.5294117647058824,311,208,52,51,23
MSFT,Technology,BiLSTM,regression,0.0003137175540859501,0.011836087662094838,-0.21418570424544403,0.17128606205176408,0.5974025974025974,0.6571428571428571,0.5476190476190477,0.581081081081081,447,299,74,74,23
NVS,Healthcare,BiLSTM,regression,0.0001566410621248705,0.010045869287384749,0.036512206912585166,0.0,0.6551724137931034,0.48717948717948717,1.0,0.48717948717948717,158,96,23,39,23
ORCL,Technology,BiLSTM,regression,0.0001819612107538593,0.010434072344154997,0.0045561556687374605,0.2921743548953888,0.6774193548387096,0.5121951219512195,1.0,0.5555555555555556,273,183,45,45,16
PCLN,Services,BiLSTM,regression,0.0004324989880995916,0.015328924040958673,-0.23955142756205206,0.0,0.0,0.0,0.0,0.4264705882352941,408,272,68,68,19
PEP,Consumer Goods,BiLSTM,regression,0.0001295158828691508,0.008228233841405313,-0.2491066502807351,0.3486948369707025,0.5714285714285714,0.7692307692307693,0.45454545454545453,0.6590909090909091,222,143,35,44,23
PFE,Healthcare,BiLSTM,regression,0.00024408662723512923,0.012302011274583715,-0.1349106058233338,-0.05015225513588337,0.5230769230769231,0.4473684210526316,0.6296296296296297,0.46551724137931033,348,232,58,58,24
PG,Consumer Goods,BiLSTM,regression,8.644456110420774e-05,0.007291668063673966,-0.0867984521688443,0.012104550653376048,0.676923076923077,0.6285714285714286,0.7333333333333333,0.5625,288,192,48,48,16
SLB,Basic Matierials,BiLSTM,regression,0.0003396277748476082,0.015242049768808563,-0.035000587330100474,0.0,0.5185185185185185,0.35,1.0,0.35,204,132,32,40,16
SO,Utilities,BiLSTM,regression,0.00024535321860693385,0.011193339157202296,-0.03112642630977125,0.0,0.7,0.5384615384615384,1.0,0.5384615384615384,159,96,24,39,16
T,Technology,BiLSTM,regression,7.787499497205271e-05,0.006954679151105959,0.0288368769194145,0.11785113019775792,0.6727272727272727,0.5138888888888888,0.9736842105263158,0.5263157894736842,460,308,76,76,19
UNH,Healthcare,BiLSTM,regression,0.0003738705183910969,0.015477868757643065,-0.03890697960520706,-0.20851441405707477,0.40816326530612246,0.4,0.4166666666666667,0.3958333333333333,241,155,38,48,24
UPS,Services,BiLSTM,regression,0.00010408223999866741,0.007152426233511101,-0.07680789288577139,-0.05976143046671969,0.6865671641791045,0.5476190476190477,0.92,0.5333333333333333,183,111,27,45,45
UTX,Industrial Goods,BiLSTM,regression,0.00018667511679590929,0.010677486817613721,-0.03230808344149305,0.0,0.5357142857142857,0.36585365853658536,1.0,0.36585365853658536,205,132,32,41,16
V,Financial,BiLSTM,regression,0.00021952290624362058,0.011579405624990354,0.000303465402350489,0.0,0.7045454545454546,0.543859649122807,1.0,0.543859649122807,345,231,57,57,16
VZ,Technology,BiLSTM,regression,9.478786433870216e-05,0.007857420995874196,-0.037908959130262154,0.0,0.6511627906976745,0.4827586206896552,1.0,0.4827586206896552,349,233,58,58,16
WFC,Financial,BiLSTM,regression,0.0001605497828705706,0.010059280885755754,0.0013515119749660798,0.0,0.6904761904761905,0.5272727272727272,1.0,0.5272727272727272,332,222,55,55,16
WMT,Services,BiLSTM,regression,0.00011429212804666455,0.008801580074162112,-0.0025694336318138333,0.0,0.6744186046511628,0.5087719298245614,1.0,0.5087719298245614,346,232,57,57,17
XOM,Basic Matierials,BiLSTM,regression,0.00023749486166478918,0.01218058222703629,-0.016638730284568748,0.0,0.0,0.0,0.0,0.5161290322580645,376,252,62,62,18
