company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained
CAT,Industrial Goods,GRU,regression,1,0.0003029655390029107,0.013698383677668905,0.009664163802622805,0.0,0.64,0.47058823529411764,1.0,0.47058823529411764,310,208,51,51,16
CELG,Healthcare,GRU,regression,1,0.0006474255384846215,0.019009257817999916,0.03292194916586155,0.31279461904345907,0.717948717948718,0.5833333333333334,0.9333333333333333,0.6271186440677966,357,239,59,59,16
CMCSA,Services,GRU,regression,1,0.00015093264151894167,0.009688103260424937,-0.0073711441107551234,0.0,0.625,0.45454545454545453,1.0,0.45454545454545453,265,177,44,44,16
CSCO,Technology,GRU,regression,1,0.00023464766584923728,0.011295629179800688,-0.044182510373809825,-0.05923488777590924,0.1111111111111111,0.4,0.06451612903225806,0.4838709677419355,372,248,62,62,17
CVX,Basic Matierials,GRU,regression,1,0.00038376148681080606,0.016832783997557433,-0.020931523113372652,0.0,0.6410256410256411,0.4716981132075472,1.0,0.4716981132075472,323,216,54,53,17
D,Utilities,GRU,regression,1,0.00010517837811347192,0.007842619008229527,0.01097303276446382,0.056968663158142384,0.5925925925925926,0.5581395348837209,0.631578947368421,0.5352112676056338,427,285,71,71,16
DIS,Services,GRU,regression,1,0.00015932908836974337,0.009807206451592136,0.004951997408329523,0.0,0.7628865979381443,0.6166666666666667,1.0,0.6166666666666667,365,244,61,60,16
FB,Technology,GRU,regression,1,0.0002700209144249737,0.012961851544507689,-0.005333061997641719,-0.06737215368532151,0.717948717948718,0.6,0.8936170212765957,0.5714285714285714,463,309,77,77,16
GE,Industrial Goods,GRU,regression,1,0.0001610425514089108,0.0096680853957569,-0.09255074804525276,0.02645766009805475,0.45161290322580644,0.6086956521739131,0.358974358974359,0.48484848484848486,401,268,67,66,47
GOOG,Technology,GRU,regression,1,0.00027802781636351344,0.012142826235843408,-0.22674597424739806,0.0,0.0,0.0,0.0,0.4605263157894737,460,308,76,76,17
