number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,state
44,0.5241410642513211,2026-02-02 14:02:34.547969,2026-02-02 14:05:55.801514,0 days 00:03:21.253545,32,0.1,20,all_features,64,128,5,0.0,0.00012109555099765322,0.7,7,50,BiLSTM,2,18,1.55781335567119e-06,COMPLETE
18,0.5227528027009141,2026-02-02 13:27:19.452131,2026-02-02 13:28:14.711952,0 days 00:00:55.259821,16,0.1,10,all_features,256,64,5,0.0,0.0005015010800963721,0.7,7,50,GRU,2,6,3.5161275702560533e-06,COMPLETE
7,0.5216013108722916,2026-02-02 13:02:52.850764,2026-02-02 13:07:01.911776,0 days 00:04:09.061012,32,0.4,20,all_features,256,128,5,0.3,0.0007124877187059235,0.5,10,50,GRU,2,36,2.95459733836846e-06,COMPLETE
43,0.5183625674786344,2026-02-02 14:01:01.132109,2026-02-02 14:02:34.547534,0 days 00:01:33.415425,32,0.30000000000000004,20,all_features,64,128,5,0.0,0.00022321036301180795,0.7,7,50,BiLSTM,2,6,2.2593481965045322e-06,COMPLETE
5,0.5177157641018109,2026-02-02 13:00:48.140681,2026-02-02 13:01:58.823606,0 days 00:01:10.682925,32,0.0,20,all_features,64,32,3,0.1,0.0005292233527525195,0.5,10,50,BiLSTM,1,18,8.850242088348152e-06,COMPLETE
48,0.5174111583219768,2026-02-02 14:12:37.288642,2026-02-02 14:15:19.469166,0 days 00:02:42.180524,16,0.0,10,all_features,256,128,5,0.1,0.00025349301840154703,0.7,5,50,BiGRU,2,12,1.9503500961351706e-06,COMPLETE
31,0.5164969763181302,2026-02-02 13:40:09.451297,2026-02-02 13:43:02.332698,0 days 00:02:52.881401,16,0.0,10,all_features,256,64,5,0.1,0.0005542237159688423,0.7,7,50,GRU,2,36,2.414987893680951e-06,COMPLETE
20,0.516469784914584,2026-02-02 13:29:08.178485,2026-02-02 13:30:22.560910,0 days 00:01:14.382425,16,0.2,10,all_features,256,64,5,0.0,0.00046428567251795066,0.7,7,50,GRU,2,12,4.483583431681647e-06,COMPLETE
22,0.5134241832526968,2026-02-02 13:31:17.809484,2026-02-02 13:32:11.097510,0 days 00:00:53.288026,16,0.0,10,all_features,256,64,5,0.0,0.0002729679523202574,0.7,7,50,GRU,2,6,1.1943995373169657e-06,COMPLETE
24,0.5128366936272966,2026-02-02 13:33:06.422147,2026-02-02 13:34:41.982968,0 days 00:01:35.560821,16,0.0,10,all_features,256,64,5,0.0,0.0002679118704836344,0.7,7,50,LSTM,2,12,2.1585768268489307e-06,COMPLETE
14,0.5118387386652156,2026-02-02 13:22:22.098148,2026-02-02 13:23:11.663406,0 days 00:00:49.565258,64,0.30000000000000004,10,all_features,64,128,5,0.2,0.00022439476020810214,0.5,5,30,GRU,2,24,1.2790185778525746e-05,COMPLETE
42,0.511838203240382,2026-02-02 13:58:29.319486,2026-02-02 14:01:01.131255,0 days 00:02:31.811769,32,0.2,20,all_features,64,128,5,0.0,0.00016484138413037444,0.7,7,50,BiLSTM,2,12,1.0188529065778727e-06,COMPLETE
26,0.5105679090416029,2026-02-02 13:35:36.402059,2026-02-02 13:36:07.225608,0 days 00:00:30.823549,64,0.0,10,all_features,256,32,5,0.0,0.0005974357761228649,0.7,7,50,GRU,1,12,4.676813846162237e-06,COMPLETE
25,0.5066938778180672,2026-02-02 13:34:41.983385,2026-02-02 13:35:36.401631,0 days 00:00:54.418246,16,0.1,10,all_features,256,64,5,0.1,0.00016956810097598315,0.7,10,50,GRU,2,6,6.284629989835551e-06,COMPLETE
38,0.5062380088498818,2026-02-02 13:52:55.135801,2026-02-02 13:55:08.847104,0 days 00:02:13.711303,32,0.0,10,all_features,256,64,5,0.1,0.0009653481377122618,0.5,5,30,BiGRU,2,18,1.54338028276695e-06,COMPLETE
13,0.5051160742542228,2026-02-02 13:19:38.852444,2026-02-02 13:22:22.097435,0 days 00:02:43.244991,16,0.1,10,all_features,64,64,5,0.3,0.0003954650752884281,0.7,7,50,BiLSTM,2,30,0.0002783239274648386,COMPLETE
29,0.5012956724943604,2026-02-02 13:38:19.178387,2026-02-02 13:38:54.517078,0 days 00:00:35.338691,64,0.0,10,all_features,256,64,3,0.1,0.00041989079787722075,0.7,10,50,BiGRU,1,6,1.5200586671921813e-05,COMPLETE
19,0.49907437436968116,2026-02-02 13:28:14.712374,2026-02-02 13:29:08.178056,0 days 00:00:53.465682,16,0.0,10,all_features,256,64,1,0.0,0.000317616318120894,0.7,7,50,GRU,2,6,1.8812836634650588e-06,COMPLETE
30,0.4963458410684773,2026-02-02 13:38:54.517601,2026-02-02 13:40:09.450820,0 days 00:01:14.933219,16,0.1,10,all_features,128,64,3,0.0,0.00013241497537420778,0.7,7,50,LSTM,2,18,0.0001580603669479756,COMPLETE
0,0.4943326602482739,2026-02-02 12:53:20.701367,2026-02-02 12:54:35.958959,0 days 00:01:15.257592,64,0.5,10,all_features,128,64,3,0.1,0.00011549436781364176,0.5,5,30,BiGRU,1,36,0.00011755118921090335,COMPLETE
8,0.49317669406792586,2026-02-02 13:07:01.915163,2026-02-02 13:08:40.464233,0 days 00:01:38.549070,16,0.5,20,all_features,128,32,3,0.1,0.000222771761085804,0.5,5,50,LSTM,2,12,1.4815884228071282e-06,COMPLETE
12,0.49008865959504755,2026-02-02 13:14:34.625884,2026-02-02 13:19:38.851742,0 days 00:05:04.225858,16,0.2,20,all_features,64,128,5,0.2,0.00019647457710597372,0.7,5,30,BiLSTM,2,24,0.0009478419254478831,COMPLETE
32,0.4842302093385129,2026-02-02 13:43:02.333425,2026-02-02 13:45:29.003519,0 days 00:02:26.670094,16,0.0,10,all_features,256,64,5,0.1,0.0006474704122373082,0.7,7,50,GRU,2,30,3.4098625707411434e-06,COMPLETE
49,0.48094978793221593,2026-02-02 14:15:19.469910,2026-02-02 14:16:50.670909,0 days 00:01:31.200999,32,0.0,10,all_features,64,64,5,0.3,0.0002141796411365124,0.5,7,30,BiLSTM,2,24,1.3158560271541153e-06,COMPLETE
36,0.47709850669223675,2026-02-02 13:50:26.557668,2026-02-02 13:50:34.106696,0 days 00:00:07.549028,64,0.1,10,all_features,64,64,3,0.1,0.00046101723652002094,0.7,10,30,GRU,1,6,7.195886602385376e-05,COMPLETE
9,0.47681742552005907,2026-02-02 13:08:40.464878,2026-02-02 13:09:29.727309,0 days 00:00:49.262431,32,0.2,10,all_features,64,32,1,0.1,0.0009201233313248496,0.5,7,50,BiGRU,1,30,3.3993486976553976e-05,COMPLETE
1,0.47486721028719636,2026-02-02 12:54:35.959692,2026-02-02 12:55:12.545911,0 days 00:00:36.586219,32,0.1,20,all_features,128,128,3,0.0,0.0007022909762865794,0.7,7,30,GRU,1,12,5.3076682851616734e-05,COMPLETE
28,0.47024407481008657,2026-02-02 13:36:59.334961,2026-02-02 13:38:19.177891,0 days 00:01:19.842930,16,0.2,10,all_features,256,64,1,0.0,0.00026018636570060156,0.7,7,50,GRU,2,12,1.8757583152597562e-06,COMPLETE
39,0.4697853756613933,2026-02-02 13:55:08.847796,2026-02-02 13:56:39.644632,0 days 00:01:30.796836,16,0.1,20,all_features,128,32,5,0.0,0.0001940367257507936,0.7,7,50,GRU,2,12,2.6280581734405377e-05,COMPLETE
47,0.4697835764185342,2026-02-02 14:12:18.079997,2026-02-02 14:12:37.288227,0 days 00:00:19.208230,64,0.1,20,all_features,64,32,5,0.0,0.00030553183345735126,0.7,7,50,GRU,2,6,6.1578822542140335e-06,COMPLETE
23,0.4659896009306794,2026-02-02 13:32:11.097938,2026-02-02 13:33:06.421424,0 days 00:00:55.323486,16,0.1,10,all_features,256,64,5,0.1,0.0001408725902407078,0.7,7,50,GRU,2,6,1.2248504499321995e-05,COMPLETE
41,0.4564693704272279,2026-02-02 13:56:49.764104,2026-02-02 13:58:29.318696,0 days 00:01:39.554592,32,0.1,20,all_features,64,128,5,0.0,0.00015006726456673903,0.7,7,50,BiLSTM,2,6,1.2128719576762352e-06,COMPLETE
37,0.4552014324975218,2026-02-02 13:50:34.107230,2026-02-02 13:52:55.135025,0 days 00:02:21.027795,16,0.0,10,all_features,256,64,1,0.0,0.00010404470028654882,0.7,7,50,GRU,2,24,2.94110080006687e-06,COMPLETE
40,0.45129520862188366,2026-02-02 13:56:39.645407,2026-02-02 13:56:49.763107,0 days 00:00:10.117700,32,0.0,10,all_features,64,128,3,0.1,0.000655108040423505,0.5,10,50,GRU,1,6,9.859062058969642e-06,COMPLETE
6,0.4473247788033416,2026-02-02 13:01:58.826134,2026-02-02 13:02:52.850027,0 days 00:00:54.023893,64,0.4,10,all_features,64,64,1,0.3,0.0007483169578868578,0.5,5,30,GRU,2,30,2.377821166178657e-05,COMPLETE
3,0.44650070701195377,2026-02-02 12:56:25.599170,2026-02-02 12:57:31.919453,0 days 00:01:06.320283,32,0.5,10,all_features,128,128,1,0.0,0.0009073787031927136,0.7,10,30,BiGRU,1,18,7.375723687030038e-05,COMPLETE
45,0.4363280480709675,2026-02-02 14:05:55.802334,2026-02-02 14:07:12.875149,0 days 00:01:17.072815,32,0.4,20,all_features,64,128,5,0.1,0.00016424658325768922,0.7,5,50,LSTM,2,12,2.636293472534652e-06,COMPLETE
46,0.41612978111376325,2026-02-02 14:07:12.875739,2026-02-02 14:12:18.079302,0 days 00:05:05.203563,16,0.2,20,all_features,64,64,1,0.2,0.00018878552708415498,0.5,7,30,BiLSTM,2,30,4.067815165528571e-06,COMPLETE
