company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric,isotonic_used
BBL,Basic Matierials,GRU,classification,1,,,,0.021109792565893827,0.4666666666666667,0.4,0.56,0.5,0.6190476190476191,0.3892494720807615,0.42857142857142855,1.0,0.2727272727272727,1188,398,42,64,21,0.585,0.3892494720807615,True
BCH,Financial,GRU,classification,1,,,,-0.05479966243511909,0.27906976744186046,0.375,0.2222222222222222,0.515625,0.6666666666666666,0.4746540241984124,0.5625,1.0,0.391304347826087,1188,398,42,64,23,0.48499999999999993,0.4746540241984124,True
BHP,Basic Matierials,GRU,classification,1,,,,0.15749883157896472,0.48,0.5454545454545454,0.42857142857142855,0.59375,0.6190476190476191,0.23918243661746993,0.6363636363636364,0.6086956521739131,0.6666666666666666,1188,398,42,64,21,0.38999999999999996,0.23918243661746993,True
BP,Basic Matierials,GRU,classification,1,,,,0.18071682129971953,0.2,0.75,0.11538461538461539,0.625,0.6428571428571429,0.3124666267458028,0.4,0.8333333333333334,0.2631578947368421,1188,398,42,64,30,0.4149999999999999,0.3124666267458028,True
BRK-A,Financial,GRU,classification,1,,,,0.2277100170213244,0.6363636363636364,0.4666666666666667,1.0,0.5,0.6190476190476191,0.2571104222523257,0.6521739130434783,0.5769230769230769,0.75,1188,398,42,64,23,0.4049999999999999,0.2571104222523257,True
BSAC,Financial,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.5625,0.6666666666666666,0.24656034565311388,0.3,0.75,0.1875,1188,398,42,64,23,0.5049999999999999,0.24656034565311388,True
BUD,Consumer Goods,GRU,classification,1,,,,0.17688728441930626,0.6582278481012658,0.5531914893617021,0.8125,0.578125,0.47619047619047616,0.2545139051903111,0.5925925925925926,0.42105263157894735,1.0,1188,398,42,64,26,0.05,0.2545139051903111,True
C,Financial,GRU,classification,1,,,,0.24309042315524473,0.6172839506172839,0.45454545454545453,0.9615384615384616,0.515625,0.6428571428571429,0.4264014327112209,0.7272727272727273,0.5714285714285714,1.0,1188,398,42,64,27,0.05,0.4264014327112209,True
CAT,Industrial Goods,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.5,0.5952380952380952,0.23833987665914574,0.32,0.8,0.2,1188,398,42,64,21,0.5599999999999999,0.23833987665914574,True
CELG,Healthcare,GRU,classification,1,,,,0.2168404023533557,0.647887323943662,0.6052631578947368,0.696969696969697,0.609375,0.6666666666666666,0.29647162568549673,0.5625,0.6,0.5294117647058824,1188,398,42,64,22,0.30999999999999994,0.29647162568549673,True
CHL,Technology,GRU,classification,1,,,,-0.22458324855648745,0.5842696629213483,0.4482758620689655,0.8387096774193549,0.421875,0.6190476190476191,0.27811065739636276,0.6521739130434783,0.5555555555555556,0.7894736842105263,1188,398,42,64,23,0.33499999999999996,0.27811065739636276,True
CHTR,Services,GRU,classification,1,,,,0.19418390934515434,0.4,0.6923076923076923,0.28125,0.578125,0.7619047619047619,0.5325352101035199,0.6428571428571429,0.9,0.5,1188,398,42,64,26,0.5049999999999999,0.5325352101035199,True
